Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessNetflow,Beta-VAE,0.8954,0.0171,0.0588,0.1,0.0741,0.9971,0.0122
cadets,ProcessNetflow,GMVAE,0.9093,0.0859,0.125,0.4,0.1905,0.996,0.0121
cadets,ProcessNetflow,Attention AE,0.9003,0.0336,0.1667,0.1,0.125,0.9984,0.0154
cadets,ProcessNetflow,LSTMAE,0.9389,0.2209,0.4444,0.4,0.4211,0.9987,0.018
cadets,ProcessNetflow,Robust,0.9399,0.244,0.3636,0.4,0.381,0.9985,0.0135
cadets,ProcessNetflow,Contractive,0.9035,0.0337,0.1667,0.1,0.125,0.9984,0.0104
cadets,ProcessParent,Baseline,0.9196,0.3683,0.75,0.375,0.5,0.9999,0.0401
cadets,ProcessParent,Sparse,0.8857,0.1257,1.0,0.125,0.2222,0.9998,0.0401
cadets,ProcessParent,Deep SVDD,0.6875,0.3022,0.75,0.375,0.5,0.9999,0.0216
cadets,ProcessParent,DAE,0.9701,0.2537,1.0,0.25,0.4,0.9999,0.0493
cadets,ProcessParent,VAE,0.8901,0.0046,0.0303,0.125,0.0488,0.9991,0.046
cadets,ProcessParent,Beta-VAE,0.879,0.0104,0.0769,0.125,0.0952,0.9996,0.0522
cadets,ProcessParent,GMVAE,0.8913,0.1258,1.0,0.125,0.2222,0.9998,0.0475
cadets,ProcessParent,Attention AE,0.9001,0.1276,1.0,0.125,0.2222,0.9998,0.0622
cadets,ProcessParent,LSTMAE,0.7703,0.4215,1.0,0.375,0.5455,0.9999,0.0571
cadets,ProcessParent,Robust,0.9195,0.4255,1.0,0.375,0.5455,0.9999,0.0392
cadets,ProcessParent,Contractive,0.891,0.1258,1.0,0.125,0.2222,0.9998,0.0378
clearscope,ProcessAll,Baseline,0.9876,0.7527,1.0,0.6923,0.8182,0.9984,0.008
clearscope,ProcessAll,Sparse,0.9496,0.232,0.1739,0.9231,0.2927,0.9762,0.006
clearscope,ProcessAll,Deep SVDD,0.9963,0.8121,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessAll,DAE,0.974,0.7321,1.0,0.6154,0.7619,0.9979,0.0063
clearscope,ProcessAll,VAE,0.9456,0.2069,0.1528,0.8462,0.2588,0.9741,0.005
clearscope,ProcessAll,Beta-VAE,0.9468,0.1347,0.1667,0.9231,0.2824,0.9749,0.006
clearscope,ProcessAll,GMVAE,0.9524,0.2321,0.1739,0.9231,0.2927,0.9762,0.0053
clearscope,ProcessAll,Attention AE,0.9853,0.7144,0.9,0.6923,0.7826,0.9979,0.007
clearscope,ProcessAll,LSTMAE,0.9859,0.7156,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll,Robust,0.9874,0.7213,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll,Contractive,0.9526,0.2317,0.1714,0.9231,0.2892,0.9757,0.0061
clearscope,ProcessEvent,Baseline,0.9243,0.2468,0.3846,0.3846,0.3846,0.9934,0.01
clearscope,ProcessEvent,Sparse,0.858,0.187,1.0,0.1538,0.2667,0.9955,0.0074
clearscope,ProcessEvent,Deep SVDD,0.9169,0.5672,1.0,0.4615,0.6316,0.9971,0.0055
clearscope,ProcessEvent,DAE,0.881,0.1882,1.0,0.1538,0.2667,0.9955,0.0065
clearscope,ProcessEvent,VAE,0.9048,0.0462,0.0833,0.2308,0.1224,0.9823,0.0073
clearscope,ProcessEvent,Beta-VAE,0.8856,0.1147,0.3333,0.2308,0.2727,0.9934,0.0071
clearscope,ProcessEvent,GMVAE,0.848,0.1171,0.6667,0.1538,0.25,0.9951,0.007
clearscope,ProcessEvent,Attention AE,0.9179,0.201,0.3333,0.2308,0.2727,0.9934,0.0091
clearscope,ProcessEvent,LSTMAE,0.9201,0.2081,0.3333,0.2308,0.2727,0.9934,0.008
clearscope,ProcessEvent,Robust,0.932,0.3936,0.4,0.4615,0.4286,0.9934,0.0071
clearscope,ProcessEvent,Contractive,0.8597,0.1876,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessExec,Baseline,0.9882,0.7575,1.0,0.6923,0.8182,0.9984,0.0104
clearscope,ProcessExec,Sparse,0.9232,0.0873,0.129,0.9231,0.2264,0.9663,0.0073
clearscope,ProcessExec,Deep SVDD,0.788,0.7528,1.0,0.6923,0.8182,0.9984,0.0091
clearscope,ProcessExec,DAE,0.9512,0.7053,1.0,0.6923,0.8182,0.9984,0.0064
clearscope,ProcessExec,VAE,0.9402,0.0791,0.129,0.9231,0.2264,0.9663,0.0081
clearscope,ProcessExec,Beta-VAE,0.9368,0.082,0.129,0.9231,0.2264,0.9663,0.0073
clearscope,ProcessExec,GMVAE,0.9425,0.0877,0.129,0.9231,0.2264,0.9663,0.0085
clearscope,ProcessExec,Attention AE,0.9527,0.7459,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessExec,LSTMAE,0.961,0.7469,1.0,0.6923,0.8182,0.9984,0.0085
clearscope,ProcessExec,Robust,0.967,0.7274,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,Contractive,0.9368,0.0875,0.129,0.9231,0.2264,0.9663,0.007
clearscope,ProcessNetflow,Baseline,0.8869,0.2794,0.5,0.3333,0.4,0.961,0.004
clearscope,ProcessNetflow,Sparse,0.7382,0.1654,0.4,0.2222,0.2857,0.9567,0.0055
clearscope,ProcessNetflow,Deep SVDD,0.985,0.6487,0.6154,0.8889,0.7273,0.974,0.004
clearscope,ProcessNetflow,DAE,0.7638,0.1819,0.3,0.3333,0.3158,0.9437,0.0071
clearscope,ProcessNetflow,VAE,0.4424,0.051,0.1176,0.2222,0.1538,0.9048,0.005
clearscope,ProcessNetflow,Beta-VAE,0.525,0.0469,0.0597,0.4444,0.1053,0.7056,0.0054
