Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessEvent,Contractive,0.7282,0.0005,0.0007,0.4545,0.0014,0.8463,0.0991
cadets,ProcessExec,Baseline,0.9993,0.4614,0.5455,0.5455,0.5455,0.9998,0.0986
cadets,ProcessExec,Sparse,0.8918,0.0014,0.0024,0.2727,0.0048,0.9721,0.0961
cadets,ProcessExec,Deep SVDD,0.6818,0.3456,0.8,0.3636,0.5,0.9998,0.045
cadets,ProcessExec,DAE,0.9946,0.1613,0.1277,0.5455,0.2069,0.999,0.0966
cadets,ProcessExec,VAE,0.889,0.0013,0.002,0.2727,0.004,0.9671,0.104
cadets,ProcessExec,Beta-VAE,0.8808,0.0012,0.0015,0.8182,0.0029,0.8629,0.1054
cadets,ProcessExec,GMVAE,0.8899,0.0014,0.0024,0.2727,0.0048,0.9721,0.1022
cadets,ProcessExec,Attention AE,0.8898,0.0014,0.0024,0.2727,0.0048,0.9721,0.5414
cadets,ProcessExec,LSTMAE,0.9997,0.43,0.4,0.9091,0.5556,0.9996,0.3467
cadets,ProcessExec,Robust,0.9993,0.351,0.5455,0.5455,0.5455,0.9998,0.0978
cadets,ProcessExec,Contractive,0.8869,0.0014,0.0024,0.2727,0.0048,0.9721,0.0965
cadets,ProcessNetflow,Baseline,0.9374,0.1265,0.2,0.4,0.2667,0.9974,0.022
cadets,ProcessNetflow,Sparse,0.8765,0.0082,0.0139,0.1,0.0244,0.9907,0.023
cadets,ProcessNetflow,Deep SVDD,0.3012,0.084,0.5,0.2,0.2857,0.9988,0.012
cadets,ProcessNetflow,DAE,0.9229,0.0369,0.0746,0.5,0.1299,0.9922,0.022
cadets,ProcessNetflow,VAE,0.8722,0.0101,0.0204,0.1,0.0339,0.9934,0.022
cadets,ProcessNetflow,Beta-VAE,0.8723,0.0103,0.0192,0.1,0.0323,0.993,0.022
cadets,ProcessNetflow,GMVAE,0.8854,0.0116,0.0201,0.4,0.0383,0.9766,0.0222
cadets,ProcessNetflow,Attention AE,0.8766,0.0082,0.0139,0.1,0.0244,0.9907,0.105
cadets,ProcessNetflow,LSTMAE,0.9375,0.1516,0.2,0.4,0.2667,0.9974,0.068
cadets,ProcessNetflow,Robust,0.9383,0.1411,0.2,0.4,0.2667,0.9974,0.021
cadets,ProcessNetflow,Contractive,0.8858,0.0117,0.0205,0.4,0.039,0.9771,0.022
cadets,ProcessParent,Baseline,0.8894,0.3798,0.75,0.375,0.5,0.9999,0.0956
cadets,ProcessParent,Sparse,0.8919,0.0009,0.0011,1.0,0.0022,0.8349,0.0944
cadets,ProcessParent,Deep SVDD,0.625,0.2501,1.0,0.25,0.4,0.9999,0.0423
cadets,ProcessParent,DAE,0.9477,0.01,0.0556,0.125,0.0769,0.9995,0.0943
cadets,ProcessParent,VAE,0.8932,0.0045,0.0286,0.125,0.0465,0.9991,0.1017
cadets,ProcessParent,Beta-VAE,0.8886,0.0008,0.0011,1.0,0.0023,0.8428,0.1027
cadets,ProcessParent,GMVAE,0.8915,0.0009,0.0011,1.0,0.0022,0.8348,0.097
cadets,ProcessParent,Attention AE,0.8914,0.0009,0.0011,1.0,0.0022,0.8348,0.5372
cadets,ProcessParent,LSTMAE,0.6498,0.2634,0.6667,0.25,0.3636,0.9998,0.3439
cadets,ProcessParent,Robust,0.953,0.3386,0.75,0.375,0.5,0.9999,0.0926
cadets,ProcessParent,Contractive,0.8752,0.0008,0.001,0.75,0.002,0.869,0.0953
clearscope,ProcessAll,Baseline,0.9903,0.706,1.0,0.5385,0.7,0.9975,0.008
clearscope,ProcessAll,Sparse,0.9588,0.6756,0.6923,0.6923,0.6923,0.9967,0.01
clearscope,ProcessAll,Deep SVDD,0.9965,0.7685,0.7143,0.7692,0.7407,0.9971,0.006
clearscope,ProcessAll,DAE,0.9661,0.6901,0.9,0.6923,0.7826,0.9979,0.0094
clearscope,ProcessAll,VAE,0.9418,0.0997,0.1406,0.6923,0.2338,0.9757,0.009
clearscope,ProcessAll,Beta-VAE,0.9323,0.1119,0.1455,0.6154,0.2353,0.9786,0.01
clearscope,ProcessAll,GMVAE,0.9589,0.707,0.75,0.6923,0.72,0.9971,0.008
clearscope,ProcessAll,Attention AE,0.9593,0.7241,1.0,0.6154,0.7619,0.9979,0.0335
clearscope,ProcessAll,LSTMAE,0.9894,0.7044,1.0,0.5385,0.7,0.9975,0.0245
clearscope,ProcessAll,Robust,0.9903,0.7061,1.0,0.5385,0.7,0.9975,0.009
clearscope,ProcessAll,Contractive,0.9586,0.663,0.6,0.6923,0.6429,0.9959,0.009
clearscope,ProcessEvent,Baseline,0.8985,0.401,0.3214,0.6923,0.439,0.9905,0.0093
clearscope,ProcessEvent,Sparse,0.8587,0.0443,0.1538,0.1538,0.1538,0.991,0.01
clearscope,ProcessEvent,Deep SVDD,0.8456,0.5033,0.5714,0.6154,0.5926,0.9955,0.0065
clearscope,ProcessEvent,DAE,0.9207,0.3047,1.0,0.2308,0.375,0.9959,0.011
clearscope,ProcessEvent,VAE,0.8603,0.0227,0.0264,0.8462,0.0512,0.8322,0.0085
clearscope,ProcessEvent,Beta-VAE,0.8382,0.0232,0.0526,0.0769,0.0625,0.9877,0.0095
clearscope,ProcessEvent,GMVAE,0.8759,0.0582,0.1538,0.1538,0.1538,0.991,0.012
clearscope,ProcessEvent,Attention AE,0.876,0.0582,0.1538,0.1538,0.1538,0.991,0.034
clearscope,ProcessEvent,LSTMAE,0.9355,0.3633,1.0,0.2308,0.375,0.9959,0.0226
clearscope,ProcessEvent,Robust,0.9488,0.438,0.375,0.6923,0.4865,0.9922,0.0095
clearscope,ProcessEvent,Contractive,0.8838,0.112,0.4,0.1538,0.2222,0.9942,0.009
clearscope,ProcessExec,Baseline,0.961,0.6495,1.0,0.5385,0.7,0.9975,0.0085
clearscope,ProcessExec,Sparse,0.9375,0.5747,1.0,0.5385,0.7,0.9975,0.009
clearscope,ProcessExec,Deep SVDD,0.9938,0.7095,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessExec,DAE,0.9697,0.573,1.0,0.5385,0.7,0.9975,0.0085
clearscope,ProcessExec,VAE,0.9092,0.038,0.0741,0.1538,0.1,0.9852,0.01
clearscope,ProcessExec,Beta-VAE,0.8719,0.0252,0.0398,0.5385,0.0741,0.928,0.0114
clearscope,ProcessExec,GMVAE,0.9465,0.5753,1.0,0.5385,0.7,0.9975,0.0085
clearscope,ProcessExec,Attention AE,0.9466,0.5753,1.0,0.5385,0.7,0.9975,0.034
clearscope,ProcessExec,LSTMAE,0.9763,0.655,1.0,0.5385,0.7,0.9975,0.024
clearscope,ProcessExec,Robust,0.9245,0.6463,1.0,0.5385,0.7,0.9975,0.008
clearscope,ProcessExec,Contractive,0.9196,0.5735,1.0,0.5385,0.7,0.9975,0.008
clearscope,ProcessNetflow,Baseline,0.9169,0.4029,0.4545,0.5556,0.5,0.9567,0.0179
clearscope,ProcessNetflow,Sparse,0.7798,0.3135,0.3333,0.5556,0.4167,0.9394,0.0064
clearscope,ProcessNetflow,Deep SVDD,0.966,0.4397,0.4286,1.0,0.6,0.9481,0.004
clearscope,ProcessNetflow,DAE,0.8098,0.2865,0.3333,0.3333,0.3333,0.9481,0.005
clearscope,ProcessNetflow,VAE,0.2988,0.0287,0.0421,1.0,0.0807,0.1126,0.006
clearscope,ProcessNetflow,Beta-VAE,0.488,0.046,0.0517,0.6667,0.096,0.5108,0.0072
clearscope,ProcessNetflow,GMVAE,0.7798,0.3135,0.3333,0.5556,0.4167,0.9394,0.005
clearscope,ProcessNetflow,Attention AE,0.7858,0.3145,0.3333,0.5556,0.4167,0.9394,0.007
clearscope,ProcessNetflow,LSTMAE,0.9139,0.3898,0.4545,0.5556,0.5,0.9567,0.011
clearscope,ProcessNetflow,Robust,0.9199,0.557,1.0,0.4444,0.6154,0.9784,0.007
clearscope,ProcessNetflow,Contractive,0.7788,0.3089,0.3125,0.5556,0.4,0.9351,0.006
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.034
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.009
