Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessEvent,Deep SVDD,0.9067,0.6065,0.6,0.6923,0.6429,0.9959,0.006
clearscope,ProcessEvent,DAE,0.9313,0.2829,0.75,0.2308,0.3529,0.9955,0.006
clearscope,ProcessEvent,VAE,0.8336,0.0334,0.058,0.3077,0.0976,0.9696,0.007
clearscope,ProcessEvent,Beta-VAE,0.8731,0.1159,0.25,0.2308,0.24,0.9922,0.0064
clearscope,ProcessEvent,GMVAE,0.8569,0.1887,1.0,0.1538,0.2667,0.9955,0.007
clearscope,ProcessEvent,Attention AE,0.9248,0.5199,0.8571,0.4615,0.6,0.9967,0.0092
clearscope,ProcessEvent,LSTMAE,0.916,0.4409,0.6,0.4615,0.5217,0.9955,0.008
clearscope,ProcessEvent,Robust,0.9136,0.5723,1.0,0.4615,0.6316,0.9971,0.007
clearscope,ProcessEvent,Contractive,0.8571,0.1887,1.0,0.1538,0.2667,0.9955,0.0061
clearscope,ProcessExec,Baseline,0.9854,0.7368,0.7692,0.7692,0.7692,0.9975,0.006
clearscope,ProcessExec,Sparse,0.9628,0.0884,0.125,0.9231,0.2202,0.965,0.0071
clearscope,ProcessExec,Deep SVDD,0.7901,0.7366,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,DAE,0.8528,0.6846,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessExec,VAE,0.937,0.0457,0.069,0.7692,0.1266,0.9433,0.007
clearscope,ProcessExec,Beta-VAE,0.9632,0.1626,0.1224,0.9231,0.2162,0.9642,0.006
clearscope,ProcessExec,GMVAE,0.9689,0.0824,0.1263,0.9231,0.2222,0.9655,0.007
clearscope,ProcessExec,Attention AE,0.9174,0.7254,0.7692,0.7692,0.7692,0.9975,0.008
clearscope,ProcessExec,LSTMAE,0.9782,0.7286,0.8182,0.6923,0.75,0.9975,0.0073
clearscope,ProcessExec,Robust,0.9094,0.7209,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessExec,Contractive,0.9628,0.0884,0.125,0.9231,0.2202,0.965,0.006
clearscope,ProcessNetflow,Baseline,0.9765,0.7267,0.8571,0.6667,0.75,0.9827,0.006
clearscope,ProcessNetflow,Sparse,0.7903,0.2707,0.3333,0.3333,0.3333,0.9481,0.004
clearscope,ProcessNetflow,Deep SVDD,0.9875,0.7811,0.8571,0.6667,0.75,0.9827,0.005
clearscope,ProcessNetflow,DAE,0.9274,0.4242,0.2571,1.0,0.4091,0.8874,0.004
clearscope,ProcessNetflow,VAE,0.6086,0.0613,0.0714,0.5556,0.1266,0.7013,0.0044
clearscope,ProcessNetflow,Beta-VAE,0.6542,0.1383,0.3333,0.3333,0.3333,0.9481,0.0054
clearscope,ProcessNetflow,GMVAE,0.7968,0.2619,0.3125,0.5556,0.4,0.9351,0.005
clearscope,ProcessNetflow,Attention AE,0.973,0.6622,0.6364,0.7778,0.7,0.974,0.005
clearscope,ProcessNetflow,LSTMAE,0.9349,0.4417,0.3333,0.7778,0.4667,0.9307,0.006
clearscope,ProcessNetflow,Robust,0.9695,0.6691,0.75,0.6667,0.7059,0.9784,0.004
clearscope,ProcessNetflow,Contractive,0.7828,0.2579,0.3333,0.3333,0.3333,0.9481,0.005
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.016
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.0051
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.005
theia,ProcessAll,Baseline,0.9988,0.8119,0.6232,0.86,0.7227,0.9988,0.0597
theia,ProcessAll,Sparse,0.8916,0.0108,0.0191,0.69,0.0372,0.9361,0.0596
theia,ProcessAll,Deep SVDD,0.9047,0.5702,0.7523,0.82,0.7847,0.9992,0.0286
theia,ProcessAll,DAE,0.9851,0.1654,0.3714,0.39,0.3805,0.9977,0.0533
theia,ProcessAll,VAE,0.8802,0.0086,0.0151,0.65,0.0296,0.9238,0.0594
theia,ProcessAll,Beta-VAE,0.8673,0.008,0.0134,0.53,0.0262,0.9295,0.0611
