Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessAll_jina,LSTMAE,0.9949,0.3564,0.378,0.93,0.5376,0.9971,0.0645
theia,ProcessAll_jina,Robust,0.9984,0.5762,0.7606,0.54,0.6316,0.9989,0.052
theia,ProcessAll_jina,Contractive,0.7497,0.0036,0.0052,0.94,0.0103,0.6771,0.0508
theia,ProcessEvent_jina,Baseline,0.9992,0.728,0.6829,0.84,0.7534,0.999,0.0475
theia,ProcessEvent_jina,Sparse,0.4269,0.0019,0.0026,1.0,0.0051,0.2872,0.053
theia,ProcessEvent_jina,Deep SVDD,0.525,0.0434,0.8333,0.05,0.0943,0.9982,0.0225
theia,ProcessEvent_jina,DAE,0.823,0.0073,0.0108,0.76,0.0214,0.8715,0.048
theia,ProcessEvent_jina,VAE,0.4295,0.0016,0.0025,0.99,0.005,0.272,0.054
theia,ProcessEvent_jina,Beta-VAE,0.4218,0.0017,0.0025,1.0,0.005,0.2713,0.056
theia,ProcessEvent_jina,GMVAE,0.8826,0.0086,0.0153,0.78,0.0301,0.9073,0.0595
theia,ProcessEvent_jina,Attention AE,0.4217,0.0018,0.0026,1.0,0.0051,0.2832,0.0786
theia,ProcessEvent_jina,LSTMAE,0.994,0.2866,0.3333,0.64,0.4384,0.997,0.06
theia,ProcessEvent_jina,Robust,0.9992,0.7499,0.8043,0.74,0.7708,0.9992,0.05
theia,ProcessEvent_jina,Contractive,0.3997,0.0017,0.0025,1.0,0.005,0.2697,0.048
theia,ProcessExec_jina,Baseline,0.9485,0.8054,0.7541,0.92,0.8288,0.9993,0.0489
theia,ProcessExec_jina,Sparse,0.8481,0.0323,0.0818,0.35,0.1326,0.9918,0.0475
theia,ProcessExec_jina,Deep SVDD,0.8649,0.6651,0.9241,0.73,0.8156,0.9994,0.0245
theia,ProcessExec_jina,DAE,0.9462,0.1748,0.34,0.34,0.34,0.9976,0.0465
theia,ProcessExec_jina,VAE,0.8539,0.0168,0.0452,0.36,0.0804,0.9852,0.0545
theia,ProcessExec_jina,Beta-VAE,0.8527,0.0161,0.0422,0.33,0.0748,0.9854,0.055
theia,ProcessExec_jina,GMVAE,0.8483,0.0329,0.0833,0.35,0.1346,0.9919,0.0535
theia,ProcessExec_jina,Attention AE,0.8623,0.033,0.0824,0.35,0.1333,0.9918,0.0774
theia,ProcessExec_jina,LSTMAE,0.9673,0.6804,0.7419,0.92,0.8214,0.9993,0.063
theia,ProcessExec_jina,Robust,0.9485,0.759,0.7863,0.92,0.8479,0.9994,0.0485
theia,ProcessExec_jina,Contractive,0.8537,0.033,0.0833,0.35,0.1346,0.9919,0.049
theia,ProcessNetflow_jina,Baseline,0.9925,0.8903,0.9083,0.99,0.9474,0.9989,0.01
theia,ProcessNetflow_jina,Sparse,0.6731,0.0612,1.0,0.04,0.0769,0.9901,0.012
theia,ProcessNetflow_jina,Deep SVDD,0.994,0.8816,0.8919,0.99,0.9384,0.9987,0.01
theia,ProcessNetflow_jina,DAE,0.9689,0.2205,0.292,0.99,0.451,0.9751,0.011
theia,ProcessNetflow_jina,VAE,0.6948,0.0256,0.1379,0.04,0.062,0.9875,0.013
theia,ProcessNetflow_jina,Beta-VAE,0.7013,0.0323,0.0284,0.95,0.0552,0.6646,0.0121
theia,ProcessNetflow_jina,GMVAE,0.6731,0.0612,1.0,0.04,0.0769,0.9901,0.012
theia,ProcessNetflow_jina,Attention AE,0.6717,0.0611,1.0,0.04,0.0769,0.9901,0.016
theia,ProcessNetflow_jina,LSTMAE,0.9924,0.9042,0.9074,0.98,0.9423,0.9988,0.014
theia,ProcessNetflow_jina,Robust,0.9924,0.8783,0.9083,0.99,0.9474,0.9989,0.011
theia,ProcessNetflow_jina,Contractive,0.6731,0.0612,1.0,0.04,0.0769,0.9901,0.01
theia,ProcessParent_jina,Baseline,0.9356,0.3582,0.602,0.59,0.596,0.9986,0.0479
theia,ProcessParent_jina,Sparse,0.8925,0.0127,0.0153,0.95,0.0302,0.8908,0.0495
theia,ProcessParent_jina,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.024
theia,ProcessParent_jina,DAE,0.9296,0.1109,0.1779,0.58,0.2723,0.9945,0.049
theia,ProcessParent_jina,VAE,0.8872,0.0093,0.0138,0.93,0.0272,0.8808,0.053
theia,ProcessParent_jina,Beta-VAE,0.8868,0.0096,0.0139,0.93,0.0273,0.8816,0.053
theia,ProcessParent_jina,GMVAE,0.89,0.0127,0.0153,0.95,0.0302,0.8908,0.0541
theia,ProcessParent_jina,Attention AE,0.8885,0.0127,0.0153,0.95,0.0302,0.8908,0.0775
theia,ProcessParent_jina,LSTMAE,0.9057,0.4747,0.8082,0.59,0.6821,0.999,0.0655
theia,ProcessParent_jina,Robust,0.9376,0.1737,0.2878,0.59,0.3869,0.9967,0.0493
theia,ProcessParent_jina,Contractive,0.8911,0.0127,0.0153,0.95,0.0302,0.8908,0.0485
trace,ProcessEvent_jina,Baseline,0.8794,0.1597,0.186,0.5217,0.2743,0.9978,0.051
trace,ProcessEvent_jina,Sparse,0.5804,0.0011,0.0017,0.1739,0.0033,0.9138,0.0495
trace,ProcessEvent_jina,Deep SVDD,0.4782,0.0008,0.0008,1.0,0.0016,0.0008,0.024
trace,ProcessEvent_jina,DAE,0.7733,0.0022,0.0032,0.5652,0.0064,0.8559,0.0505
trace,ProcessEvent_jina,VAE,0.6113,0.0012,0.0016,0.3913,0.0031,0.7982,0.0555
trace,ProcessEvent_jina,Beta-VAE,0.626,0.0012,0.0017,0.4348,0.0035,0.797,0.054
trace,ProcessEvent_jina,GMVAE,0.7992,0.0026,0.0048,0.6957,0.0096,0.883,0.0615
trace,ProcessEvent_jina,Attention AE,0.5814,0.0011,0.0017,0.1739,0.0033,0.9136,0.0795
trace,ProcessEvent_jina,LSTMAE,0.8625,0.1048,0.1765,0.4565,0.2545,0.9978,0.066
trace,ProcessEvent_jina,Robust,0.8829,0.1281,0.2326,0.2174,0.2247,0.9988,0.052
trace,ProcessEvent_jina,Contractive,0.6438,0.0013,0.0018,0.413,0.0037,0.8174,0.05
trace,ProcessExec_jina,Baseline,0.9642,0.8189,0.973,0.8,0.878,0.9998,0.0497
trace,ProcessExec_jina,Sparse,0.9368,0.0633,0.0974,0.6667,0.17,0.9946,0.048
trace,ProcessExec_jina,Deep SVDD,0.9,0.7951,0.973,0.8,0.878,0.9998,0.024
trace,ProcessExec_jina,DAE,0.9469,0.1172,0.1697,0.6222,0.2667,0.9972,0.0485
trace,ProcessExec_jina,VAE,0.9254,0.0297,0.0506,0.6222,0.0936,0.99,0.0535
trace,ProcessExec_jina,Beta-VAE,0.9251,0.0233,0.0451,0.6,0.0839,0.9891,0.0521
trace,ProcessExec_jina,GMVAE,0.9495,0.1768,0.4308,0.6222,0.5091,0.999,0.0603
trace,ProcessExec_jina,Attention AE,0.9342,0.0643,0.0968,0.6667,0.169,0.9946,0.0786
trace,ProcessExec_jina,LSTMAE,0.9537,0.7098,0.8182,0.8,0.809,0.9997,0.063
trace,ProcessExec_jina,Robust,0.9661,0.7758,0.8571,0.8,0.8276,0.9997,0.0482
trace,ProcessExec_jina,Contractive,0.9289,0.0591,0.0903,0.6222,0.1577,0.9945,0.047
trace,ProcessParent_jina,Baseline,0.9315,0.1028,0.2581,0.1778,0.2105,0.9989,0.044
