Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessAll_gte_large,Baseline,0.9877,0.6344,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessAll_gte_large,Sparse,0.9559,0.2166,0.1719,0.8462,0.2857,0.9774,0.006
clearscope,ProcessAll_gte_large,Deep SVDD,0.9926,0.8027,1.0,0.6923,0.8182,0.9984,0.004
clearscope,ProcessAll_gte_large,DAE,0.9784,0.6811,1.0,0.6154,0.7619,0.9979,0.005
clearscope,ProcessAll_gte_large,VAE,0.9373,0.1081,0.2,0.2308,0.2143,0.991,0.006
clearscope,ProcessAll_gte_large,Beta-VAE,0.955,0.1831,0.1642,0.8462,0.275,0.9762,0.006
clearscope,ProcessAll_gte_large,GMVAE,0.9604,0.2716,0.2727,0.4615,0.3429,0.9905,0.005
clearscope,ProcessAll_gte_large,Attention AE,0.7784,0.4616,0.875,0.5385,0.6667,0.9971,0.007
clearscope,ProcessAll_gte_large,LSTMAE,0.9895,0.608,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll_gte_large,Robust,0.9869,0.6247,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessAll_gte_large,Contractive,0.9557,0.2155,0.1667,0.8462,0.2785,0.9766,0.006
clearscope,ProcessEvent_gte_large,Baseline,0.9212,0.5319,0.8571,0.4615,0.6,0.9967,0.006
clearscope,ProcessEvent_gte_large,Sparse,0.8992,0.1112,0.4,0.1538,0.2222,0.9942,0.006
clearscope,ProcessEvent_gte_large,Deep SVDD,0.9116,0.5855,0.875,0.5385,0.6667,0.9971,0.005
clearscope,ProcessEvent_gte_large,DAE,0.9202,0.2833,1.0,0.2308,0.375,0.9959,0.005
clearscope,ProcessEvent_gte_large,VAE,0.8427,0.0296,0.0433,0.6923,0.0814,0.9165,0.006
clearscope,ProcessEvent_gte_large,Beta-VAE,0.8853,0.1608,0.4,0.1538,0.2222,0.9942,0.006
clearscope,ProcessEvent_gte_large,GMVAE,0.9011,0.2819,1.0,0.2308,0.375,0.9959,0.006
clearscope,ProcessEvent_gte_large,Attention AE,0.9276,0.3167,0.4444,0.6154,0.5161,0.9938,0.007
clearscope,ProcessEvent_gte_large,LSTMAE,0.9132,0.3255,0.4444,0.6154,0.5161,0.9938,0.006
clearscope,ProcessEvent_gte_large,Robust,0.916,0.5345,0.8571,0.4615,0.6,0.9967,0.006
clearscope,ProcessEvent_gte_large,Contractive,0.8986,0.0785,0.2,0.1538,0.1739,0.9922,0.005
clearscope,ProcessExec_gte_large,Baseline,0.9364,0.7446,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec_gte_large,Sparse,0.9544,0.0875,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessExec_gte_large,Deep SVDD,0.9783,0.758,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec_gte_large,DAE,0.8919,0.703,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec_gte_large,VAE,0.9468,0.0753,0.1121,0.9231,0.2,0.9605,0.006
clearscope,ProcessExec_gte_large,Beta-VAE,0.9547,0.0718,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec_gte_large,GMVAE,0.9594,0.0881,0.129,0.9231,0.2264,0.9663,0.006
clearscope,ProcessExec_gte_large,Attention AE,0.9881,0.7499,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessExec_gte_large,LSTMAE,0.961,0.7393,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessExec_gte_large,Robust,0.946,0.7377,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec_gte_large,Contractive,0.9544,0.0875,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessNetflow_gte_large,Baseline,0.9184,0.3325,0.6,0.3333,0.4286,0.9654,0.004
clearscope,ProcessNetflow_gte_large,Sparse,0.7407,0.168,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessNetflow_gte_large,Deep SVDD,0.9775,0.5413,0.6667,0.8889,0.7619,0.9784,0.004
clearscope,ProcessNetflow_gte_large,DAE,0.7608,0.2034,0.2941,0.5556,0.3846,0.9307,0.004
clearscope,ProcessNetflow_gte_large,VAE,0.4705,0.0445,0.0909,0.1111,0.1,0.9221,0.004
clearscope,ProcessNetflow_gte_large,Beta-VAE,0.6236,0.0839,0.1154,0.3333,0.1714,0.8745,0.004
clearscope,ProcessNetflow_gte_large,GMVAE,0.7452,0.1674,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessNetflow_gte_large,Attention AE,0.8934,0.2824,0.5,0.4444,0.4706,0.961,0.005
clearscope,ProcessNetflow_gte_large,LSTMAE,0.8874,0.2785,0.5,0.4444,0.4706,0.961,0.0044
clearscope,ProcessNetflow_gte_large,Robust,0.9299,0.3475,0.6,0.3333,0.4286,0.9654,0.004
clearscope,ProcessNetflow_gte_large,Contractive,0.7477,0.175,0.2727,0.3333,0.3,0.9394,0.004
clearscope,ProcessParent_gte_large,Baseline,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent_gte_large,Sparse,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent_gte_large,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_gte_large,Robust,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent_gte_large,Contractive,,0.0,0.0,0.0,0.0,0.0,0.003
theia,ProcessAll_gte_large,Baseline,0.9986,0.6295,0.5704,0.81,0.6694,0.9986,0.0584
theia,ProcessAll_gte_large,Sparse,0.7536,0.0039,0.0057,0.83,0.0113,0.7414,0.053
theia,ProcessAll_gte_large,Deep SVDD,0.5499,0.1372,0.6047,0.26,0.3636,0.9984,0.024
theia,ProcessAll_gte_large,DAE,0.9803,0.0873,0.1411,0.67,0.233,0.9921,0.051
theia,ProcessAll_gte_large,VAE,0.7396,0.0035,0.0051,0.76,0.0101,0.7325,0.0586
theia,ProcessAll_gte_large,Beta-VAE,0.7538,0.0037,0.0052,0.82,0.0104,0.7202,0.057
theia,ProcessAll_gte_large,GMVAE,0.7586,0.004,0.0057,0.83,0.0114,0.7427,0.056
theia,ProcessAll_gte_large,Attention AE,0.7583,0.004,0.0054,0.83,0.0108,0.7277,0.0815
theia,ProcessAll_gte_large,LSTMAE,0.9962,0.528,0.7361,0.53,0.6163,0.9988,0.0639
theia,ProcessAll_gte_large,Robust,0.9962,0.5764,0.7467,0.56,0.64,0.9989,0.0491
theia,ProcessAll_gte_large,Contractive,0.748,0.0038,0.0054,0.74,0.0108,0.758,0.05
theia,ProcessEvent_gte_large,Baseline,0.9989,0.6194,0.6377,0.88,0.7395,0.9989,0.048
theia,ProcessEvent_gte_large,Sparse,0.785,0.0153,0.0256,0.61,0.0492,0.9565,0.048
theia,ProcessEvent_gte_large,Deep SVDD,0.525,0.0434,0.8333,0.05,0.0943,0.9982,0.023
theia,ProcessEvent_gte_large,DAE,0.9284,0.0389,0.0549,0.45,0.0979,0.9847,0.047
theia,ProcessEvent_gte_large,VAE,0.7699,0.0068,0.0115,0.53,0.0225,0.9152,0.055
theia,ProcessEvent_gte_large,Beta-VAE,0.772,0.0087,0.0168,0.44,0.0324,0.9515,0.054
theia,ProcessEvent_gte_large,GMVAE,0.9947,0.3503,0.6377,0.44,0.5207,0.9985,0.0605
theia,ProcessEvent_gte_large,Attention AE,0.7989,0.0139,0.0252,0.59,0.0483,0.9571,0.0783
theia,ProcessEvent_gte_large,LSTMAE,0.9982,0.6294,0.6988,0.58,0.6339,0.9988,0.0611
theia,ProcessEvent_gte_large,Robust,0.9986,0.6062,0.5389,0.97,0.6929,0.9984,0.047
theia,ProcessEvent_gte_large,Contractive,0.8002,0.0147,0.0252,0.59,0.0483,0.9571,0.046
theia,ProcessExec_gte_large,Baseline,0.9673,0.8382,0.9605,0.73,0.8295,0.9995,0.048
theia,ProcessExec_gte_large,Sparse,0.9219,0.0967,0.169,0.73,0.2744,0.9931,0.049
theia,ProcessExec_gte_large,Deep SVDD,0.8649,0.6246,0.8795,0.73,0.7978,0.9993,0.024
theia,ProcessExec_gte_large,DAE,0.9535,0.3052,0.4244,0.73,0.5368,0.9977,0.0501
theia,ProcessExec_gte_large,VAE,0.9197,0.0408,0.0758,0.7,0.1369,0.9842,0.0566
theia,ProcessExec_gte_large,Beta-VAE,0.912,0.0385,0.0629,0.69,0.1153,0.981,0.055
theia,ProcessExec_gte_large,GMVAE,0.9178,0.0946,0.1644,0.73,0.2684,0.9929,0.055
theia,ProcessExec_gte_large,Attention AE,0.9131,0.0811,0.1458,0.63,0.2368,0.9927,0.081
theia,ProcessExec_gte_large,LSTMAE,0.9561,0.8184,0.8519,0.92,0.8846,0.9996,0.063
theia,ProcessExec_gte_large,Robust,0.971,0.8366,0.9192,0.91,0.9146,0.9997,0.048
theia,ProcessExec_gte_large,Contractive,0.9174,0.0949,0.1652,0.73,0.2694,0.9929,0.049
theia,ProcessNetflow_gte_large,Baseline,0.9923,0.786,0.9167,0.66,0.7674,0.9959,0.012
theia,ProcessNetflow_gte_large,Sparse,0.9824,0.5135,0.5583,0.91,0.692,0.9916,0.012
