Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.0034
theia,ProcessAll,Baseline,0.9986,0.7193,0.8636,0.57,0.6867,0.9991,0.0575
theia,ProcessAll,Sparse,0.7175,0.0031,0.0053,0.89,0.0106,0.7031,0.0521
theia,ProcessAll,Deep SVDD,0.6449,0.2859,0.8235,0.42,0.5563,0.9988,0.0265
theia,ProcessAll,DAE,0.972,0.062,0.1159,0.4,0.1798,0.9935,0.0512
theia,ProcessAll,VAE,0.705,0.0029,0.0051,0.93,0.0102,0.6766,0.056
theia,ProcessAll,Beta-VAE,0.7173,0.0031,0.0053,0.93,0.0105,0.6871,0.058
theia,ProcessAll,GMVAE,0.8721,0.0076,0.0125,0.78,0.0246,0.8894,0.06
theia,ProcessAll,Attention AE,0.712,0.0031,0.0053,0.85,0.0104,0.7121,0.0791
theia,ProcessAll,LSTMAE,0.9958,0.5566,0.7941,0.54,0.6429,0.9989,0.0661
theia,ProcessAll,Robust,0.9975,0.6232,0.7703,0.57,0.6552,0.9989,0.0505
theia,ProcessAll,Contractive,0.7156,0.0031,0.0054,0.94,0.0107,0.6908,0.053
theia,ProcessEvent,Baseline,0.9993,0.6669,0.6174,0.92,0.739,0.9988,0.0495
theia,ProcessEvent,Sparse,0.4543,0.0025,0.0526,0.01,0.0168,0.9978,0.0499
theia,ProcessEvent,Deep SVDD,0.535,0.047,0.7,0.07,0.1273,0.9982,0.023
theia,ProcessEvent,DAE,0.9331,0.0185,0.0249,0.72,0.0481,0.9474,0.047
theia,ProcessEvent,VAE,0.493,0.0017,0.0025,0.69,0.0049,0.4867,0.056
theia,ProcessEvent,Beta-VAE,0.493,0.0018,0.0024,0.71,0.0049,0.4653,0.056
theia,ProcessEvent,GMVAE,0.4879,0.0026,0.0526,0.01,0.0168,0.9978,0.053
theia,ProcessEvent,Attention AE,0.4531,0.0025,0.0526,0.01,0.0168,0.9978,0.0793
theia,ProcessEvent,LSTMAE,0.9984,0.6083,0.625,0.6,0.6122,0.9986,0.065
theia,ProcessEvent,Robust,0.9983,0.5614,0.4826,0.97,0.6445,0.998,0.047
theia,ProcessEvent,Contractive,0.4616,0.0025,0.0526,0.01,0.0168,0.9978,0.048
theia,ProcessExec,Baseline,0.9732,0.7984,0.92,0.92,0.92,0.9997,0.0495
theia,ProcessExec,Sparse,0.593,0.0029,0.0036,0.36,0.0072,0.8217,0.0486
theia,ProcessExec,Deep SVDD,0.8649,0.678,0.9241,0.73,0.8156,0.9994,0.025
theia,ProcessExec,DAE,0.9274,0.0546,0.102,0.35,0.158,0.9933,0.0509
theia,ProcessExec,VAE,0.5917,0.0025,0.0039,0.34,0.0078,0.8442,0.055
theia,ProcessExec,Beta-VAE,0.6002,0.0025,0.0064,0.01,0.0078,0.9954,0.0561
theia,ProcessExec,GMVAE,0.5909,0.0029,0.0036,0.34,0.0072,0.8315,0.054
theia,ProcessExec,Attention AE,0.5915,0.003,0.0036,0.34,0.0072,0.8315,0.0792
theia,ProcessExec,LSTMAE,0.9642,0.6836,0.8214,0.92,0.8679,0.9995,0.0635
theia,ProcessExec,Robust,0.9485,0.7693,0.9109,0.92,0.9154,0.9997,0.049
theia,ProcessExec,Contractive,0.5909,0.0029,0.0036,0.34,0.0072,0.8315,0.0486
theia,ProcessNetflow,Baseline,0.9917,0.7727,0.9697,0.64,0.7711,0.9961,0.011
theia,ProcessNetflow,Sparse,0.9727,0.2236,0.3267,0.98,0.49,0.9789,0.011
theia,ProcessNetflow,Deep SVDD,0.9946,0.8534,1.0,0.64,0.7805,0.9963,0.01
theia,ProcessNetflow,DAE,0.9815,0.298,0.4017,0.94,0.5629,0.9849,0.0107
theia,ProcessNetflow,VAE,0.9676,0.1841,0.3191,0.97,0.4802,0.9783,0.012
theia,ProcessNetflow,Beta-VAE,0.969,0.1826,0.3224,0.98,0.4851,0.9785,0.013
theia,ProcessNetflow,GMVAE,0.9727,0.2242,0.3278,0.98,0.4912,0.9791,0.012
theia,ProcessNetflow,Attention AE,0.9727,0.2242,0.3278,0.98,0.4912,0.9791,0.0174
theia,ProcessNetflow,LSTMAE,0.9921,0.8827,0.9327,0.97,0.951,0.999,0.0145
theia,ProcessNetflow,Robust,0.9951,0.9636,0.9327,0.97,0.951,0.999,0.0113
theia,ProcessNetflow,Contractive,0.9727,0.2242,0.3278,0.98,0.4912,0.9791,0.0122
theia,ProcessParent,Baseline,0.9624,0.2842,0.5315,0.59,0.5592,0.9983,0.0487
theia,ProcessParent,Sparse,0.9303,0.0219,0.0264,0.95,0.0514,0.9373,0.0494
theia,ProcessParent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.024
theia,ProcessParent,DAE,0.9182,0.4188,0.7564,0.59,0.6629,0.9989,0.0503
theia,ProcessParent,VAE,0.9215,0.0181,0.0273,0.12,0.0445,0.9908,0.0572
theia,ProcessParent,Beta-VAE,0.9134,0.017,0.0238,0.34,0.0446,0.9739,0.0569
theia,ProcessParent,GMVAE,0.9576,0.1951,0.4538,0.59,0.513,0.998,0.0601
theia,ProcessParent,Attention AE,0.9201,0.0191,0.0223,0.36,0.0419,0.9706,0.0797
theia,ProcessParent,LSTMAE,0.8969,0.564,0.9672,0.59,0.7329,0.9992,0.0647
theia,ProcessParent,Robust,0.9582,0.2943,0.5364,0.59,0.5619,0.9984,0.0486
theia,ProcessParent,Contractive,0.9304,0.022,0.0264,0.95,0.0514,0.9373,0.049
trace,ProcessAll,Baseline,0.9992,0.5569,0.6889,0.6739,0.6813,0.9995,0.052
trace,ProcessAll,Sparse,0.7321,0.0016,0.002,0.7826,0.0041,0.6888,0.0534
trace,ProcessAll,Deep SVDD,0.8152,0.4499,0.8286,0.6304,0.716,0.9996,0.0247
trace,ProcessAll,DAE,0.9233,0.007,0.0106,0.5435,0.0208,0.9582,0.0513
trace,ProcessAll,VAE,0.7088,0.0014,0.0018,0.8913,0.0036,0.5941,0.0576
trace,ProcessAll,Beta-VAE,0.7202,0.0015,0.002,0.8043,0.004,0.6697,0.0575
trace,ProcessAll,GMVAE,0.7366,0.0017,0.0021,0.5652,0.0043,0.7847,0.0557
trace,ProcessAll,Attention AE,0.7239,0.0015,0.002,0.5652,0.004,0.77,0.0797
trace,ProcessAll,LSTMAE,0.9981,0.3426,0.4516,0.6087,0.5185,0.9991,0.068
trace,ProcessAll,Robust,0.999,0.4953,0.675,0.587,0.6279,0.9994,0.0521
trace,ProcessAll,Contractive,0.7133,0.0014,0.0019,0.8478,0.0037,0.6273,0.0525
trace,ProcessEvent,Baseline,0.896,0.1327,0.2632,0.2174,0.2381,0.9989,0.0482
trace,ProcessEvent,Sparse,0.5841,0.0075,0.25,0.0217,0.04,0.9991,0.0513
trace,ProcessEvent,Deep SVDD,0.5108,0.0062,0.25,0.0217,0.04,0.9991,0.025
trace,ProcessEvent,DAE,0.7434,0.0028,0.0155,0.0652,0.025,0.9959,0.05
trace,ProcessEvent,VAE,0.585,0.0016,0.0093,0.0652,0.0163,0.9936,0.0551
trace,ProcessEvent,Beta-VAE,0.5869,0.0011,0.0022,0.1739,0.0043,0.9339,0.0598
trace,ProcessEvent,GMVAE,0.6097,0.0012,0.0023,0.1739,0.0045,0.9376,0.0559
trace,ProcessEvent,Attention AE,0.5855,0.0076,0.25,0.0217,0.04,0.9991,0.0799
trace,ProcessEvent,LSTMAE,0.8761,0.1202,0.1871,0.5652,0.2811,0.9976,0.064
trace,ProcessEvent,Robust,0.8945,0.1219,0.193,0.2391,0.2136,0.9986,0.0496
trace,ProcessEvent,Contractive,0.605,0.002,0.0312,0.0217,0.0256,0.9987,0.0487
trace,ProcessExec,Baseline,0.9535,0.7681,0.973,0.8,0.878,0.9998,0.0469
trace,ProcessExec,Sparse,0.7004,0.0018,0.0024,0.9556,0.0047,0.6673,0.0482
trace,ProcessExec,Deep SVDD,0.5556,0.0801,0.7143,0.1111,0.1923,0.9992,0.0252
trace,ProcessExec,DAE,0.9285,0.0205,0.087,0.0444,0.0588,0.9988,0.0483
trace,ProcessExec,VAE,0.6625,0.0014,0.002,0.8889,0.0039,0.6226,0.0537
trace,ProcessExec,Beta-VAE,0.6922,0.0016,0.0022,0.9333,0.0043,0.6445,0.0555
trace,ProcessExec,GMVAE,0.7049,0.0018,0.0024,0.9556,0.0047,0.6664,0.053
trace,ProcessExec,Attention AE,0.6894,0.0017,0.0022,0.9556,0.0044,0.6421,0.0762
trace,ProcessExec,LSTMAE,0.9441,0.5444,0.7021,0.7333,0.7174,0.9995,0.0598
trace,ProcessExec,Robust,0.9761,0.7874,0.9231,0.8,0.8571,0.9998,0.048
trace,ProcessExec,Contractive,0.7152,0.0019,0.0025,0.9556,0.005,0.6829,0.0484
trace,ProcessNetflow,Baseline,0.9931,0.8541,0.9333,0.7778,0.8485,0.9926,0.004
trace,ProcessNetflow,Sparse,0.7575,0.1305,0.0891,1.0,0.1636,0.7264,0.005
trace,ProcessNetflow,Deep SVDD,0.9904,0.7459,0.7895,0.8333,0.8108,0.9896,0.004
trace,ProcessNetflow,DAE,0.9703,0.5012,0.537,0.8056,0.6444,0.9762,0.005
trace,ProcessNetflow,VAE,0.7482,0.1036,0.0801,0.9167,0.1473,0.716,0.005
trace,ProcessNetflow,Beta-VAE,0.7541,0.1051,0.0825,0.8889,0.1509,0.7323,0.005
trace,ProcessNetflow,GMVAE,0.7549,0.1288,0.0877,0.9722,0.1609,0.7286,0.005
trace,ProcessNetflow,Attention AE,0.9941,0.8345,0.9032,0.7778,0.8358,0.9918,0.006
trace,ProcessNetflow,LSTMAE,0.9944,0.8392,0.9032,0.7778,0.8358,0.9918,0.006
trace,ProcessNetflow,Robust,0.9923,0.7932,0.8485,0.7778,0.8116,0.9903,0.004
trace,ProcessNetflow,Contractive,0.7556,0.1299,0.0891,1.0,0.1636,0.7264,0.005
trace,ProcessParent,Baseline,0.9412,0.235,0.2436,0.8444,0.3781,0.9976,0.0456
trace,ProcessParent,Sparse,0.7079,0.026,0.3,0.0667,0.1091,0.9991,0.0437
trace,ProcessParent,Deep SVDD,0.5111,0.0231,1.0,0.0222,0.0435,0.9992,0.023
trace,ProcessParent,DAE,0.9065,0.0422,0.4,0.0444,0.08,0.9991,0.0446
trace,ProcessParent,VAE,0.6923,0.0013,0.0019,1.0,0.0038,0.5485,0.0553
trace,ProcessParent,Beta-VAE,0.6787,0.0013,0.0022,0.9778,0.0043,0.6176,0.0543
trace,ProcessParent,GMVAE,0.6741,0.0015,0.0023,0.9556,0.0046,0.6501,0.05
trace,ProcessParent,Attention AE,0.6889,0.0193,0.4,0.0444,0.08,0.9991,0.0735
trace,ProcessParent,LSTMAE,0.8747,0.1822,0.1402,0.8444,0.2405,0.9955,0.0654
trace,ProcessParent,Robust,0.9725,0.1882,0.3103,0.2,0.2432,0.9989,0.0453
trace,ProcessParent,Contractive,0.6844,0.0192,0.4,0.0444,0.08,0.9991,0.044
