Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessParent,VAE,0.6559,0.0004,0.0006,0.25,0.0013,0.931,0.1164
cadets,ProcessParent,Beta-VAE,0.6455,0.0003,0.0005,0.25,0.001,0.9087,0.1198
cadets,ProcessParent,GMVAE,0.6599,0.0004,0.0006,0.25,0.0011,0.9216,0.1203
cadets,ProcessParent,Attention AE,0.6497,0.0004,0.0006,0.25,0.0013,0.9308,0.5888
cadets,ProcessParent,LSTMAE,0.5342,0.0749,0.1667,0.375,0.2308,0.9996,0.8187
cadets,ProcessParent,Robust,0.9017,0.0943,0.25,0.375,0.3,0.9997,0.117
cadets,ProcessParent,Contractive,0.6788,0.0004,0.0006,0.25,0.0013,0.9307,0.1139
clearscope,ProcessAll,Baseline,0.6655,0.0343,0.075,0.2308,0.1132,0.9807,0.0093
clearscope,ProcessAll,Sparse,0.5524,0.0075,0.0141,0.1538,0.0258,0.9379,0.01
clearscope,ProcessAll,Deep SVDD,0.6296,0.0274,0.1333,0.1538,0.1429,0.9901,0.006
clearscope,ProcessAll,DAE,0.6386,0.0107,0.0203,0.5385,0.0391,0.8586,0.01
clearscope,ProcessAll,VAE,0.6114,0.0088,0.0164,0.0769,0.027,0.9704,0.013
clearscope,ProcessAll,Beta-VAE,0.5271,0.0061,0.0076,0.6923,0.015,0.5148,0.009
clearscope,ProcessAll,GMVAE,0.5512,0.0073,0.0138,0.3077,0.0264,0.8787,0.01
clearscope,ProcessAll,Attention AE,0.5508,0.0073,0.0128,0.2308,0.0242,0.9005,0.0385
clearscope,ProcessAll,LSTMAE,0.6504,0.019,0.0345,0.2308,0.06,0.9613,0.025
clearscope,ProcessAll,Robust,0.6723,0.0356,0.0795,0.5385,0.1386,0.9642,0.01
clearscope,ProcessAll,Contractive,0.5448,0.0069,0.014,0.2308,0.0263,0.9087,0.009
clearscope,ProcessEvent,Baseline,0.7612,0.045,0.0976,0.3077,0.1481,0.9811,0.01
clearscope,ProcessEvent,Sparse,0.6528,0.0105,0.0204,0.2308,0.0375,0.9367,0.009
clearscope,ProcessEvent,Deep SVDD,0.6678,0.0431,0.1429,0.1538,0.1481,0.9905,0.007
clearscope,ProcessEvent,DAE,0.7135,0.013,0.02,0.2308,0.0368,0.9354,0.009
clearscope,ProcessEvent,VAE,0.5451,0.0064,0.0085,0.7692,0.0168,0.5185,0.009
clearscope,ProcessEvent,Beta-VAE,0.6799,0.0087,0.0122,0.9231,0.024,0.5987,0.009
clearscope,ProcessEvent,GMVAE,0.6509,0.0095,0.013,0.3077,0.0249,0.8713,0.011
clearscope,ProcessEvent,Attention AE,0.6498,0.0094,0.0132,0.2308,0.025,0.9038,0.035
clearscope,ProcessEvent,LSTMAE,0.7398,0.0255,0.0519,0.3077,0.0889,0.9663,0.024
clearscope,ProcessEvent,Robust,0.7339,0.0506,0.125,0.3077,0.1778,0.9848,0.011
clearscope,ProcessEvent,Contractive,0.6555,0.0111,0.0182,0.2308,0.0337,0.9293,0.01
clearscope,ProcessExec,Baseline,0.8197,0.5516,0.8889,0.6154,0.7273,0.9975,0.0102
clearscope,ProcessExec,Sparse,0.9169,0.0638,0.1818,0.1538,0.1667,0.9918,0.012
clearscope,ProcessExec,Deep SVDD,0.7125,0.5295,0.7273,0.6154,0.6667,0.9967,0.007
clearscope,ProcessExec,DAE,0.8604,0.6387,1.0,0.6154,0.7619,0.9979,0.0085
clearscope,ProcessExec,VAE,0.8914,0.1241,0.1538,0.1538,0.1538,0.991,0.014
clearscope,ProcessExec,Beta-VAE,0.8675,0.1178,0.1538,0.1538,0.1538,0.991,0.009
clearscope,ProcessExec,GMVAE,0.8779,0.1296,0.1818,0.1538,0.1667,0.9918,0.009
clearscope,ProcessExec,Attention AE,0.8776,0.0604,0.1818,0.1538,0.1667,0.9918,0.0365
clearscope,ProcessExec,LSTMAE,0.9006,0.6278,1.0,0.6154,0.7619,0.9979,0.0265
clearscope,ProcessExec,Robust,0.9463,0.6022,1.0,0.5385,0.7,0.9975,0.009
clearscope,ProcessExec,Contractive,0.8762,0.1295,0.1818,0.1538,0.1667,0.9918,0.011
clearscope,ProcessNetflow,Baseline,0.5601,0.0565,0.125,0.3333,0.1818,0.8831,0.006
clearscope,ProcessNetflow,Sparse,0.5455,0.053,0.125,0.1111,0.1176,0.9351,0.0055
clearscope,ProcessNetflow,Deep SVDD,0.5646,0.0619,0.15,0.3333,0.2069,0.9004,0.004
clearscope,ProcessNetflow,DAE,0.5621,0.0591,0.12,0.3333,0.1765,0.8788,0.004
clearscope,ProcessNetflow,VAE,0.6351,0.0577,0.0727,0.8889,0.1345,0.5541,0.005
clearscope,ProcessNetflow,Beta-VAE,0.7057,0.0845,0.1111,0.5556,0.1852,0.8095,0.004
clearscope,ProcessNetflow,GMVAE,0.5541,0.0571,0.087,0.2222,0.125,0.8788,0.004
clearscope,ProcessNetflow,Attention AE,0.5641,0.0648,0.12,0.3333,0.1765,0.8788,0.0082
clearscope,ProcessNetflow,LSTMAE,0.5626,0.0595,0.12,0.3333,0.1765,0.8788,0.009
clearscope,ProcessNetflow,Robust,0.5621,0.0585,0.1304,0.3333,0.1875,0.8874,0.004
clearscope,ProcessNetflow,Contractive,0.5435,0.0524,0.125,0.1111,0.1176,0.9351,0.006
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.007
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.0041
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.0055
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.01
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.004
theia,ProcessAll,Baseline,0.9209,0.3602,0.7021,0.33,0.449,0.9986,0.136
theia,ProcessAll,Sparse,0.8132,0.0061,0.01,0.11,0.0184,0.979,0.1285
theia,ProcessAll,Deep SVDD,0.515,0.0128,0.2941,0.05,0.0855,0.9981,0.062
theia,ProcessAll,DAE,0.8947,0.029,0.0561,0.36,0.097,0.988,0.1475
theia,ProcessAll,VAE,0.8041,0.0056,0.0078,0.39,0.0153,0.91,0.1455
theia,ProcessAll,Beta-VAE,0.8301,0.0066,0.0094,0.48,0.0185,0.9088,0.1505
theia,ProcessAll,GMVAE,0.8156,0.0061,0.0096,0.22,0.0184,0.958,0.1365
theia,ProcessAll,Attention AE,0.8169,0.0066,0.0105,0.39,0.0205,0.9334,0.7111
theia,ProcessAll,LSTMAE,0.9191,0.2931,0.5484,0.34,0.4198,0.9983,1.1142
theia,ProcessAll,Robust,0.9182,0.2422,0.5085,0.3,0.3774,0.9982,0.134
theia,ProcessAll,Contractive,0.8235,0.0068,0.0103,0.4,0.0201,0.9304,0.135
theia,ProcessEvent,Baseline,0.4233,0.0079,0.0441,0.13,0.0658,0.9932,0.1315
theia,ProcessEvent,Sparse,0.4073,0.002,0.0046,0.07,0.0087,0.9705,0.1294
theia,ProcessEvent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0037,0.0018,0.0545
theia,ProcessEvent,DAE,0.4169,0.0031,0.0229,0.03,0.026,0.9958,0.133
theia,ProcessEvent,VAE,0.395,0.0016,0.0034,0.08,0.0064,0.9545,0.139
theia,ProcessEvent,Beta-VAE,0.389,0.0016,0.0033,0.08,0.0064,0.9543,0.141
theia,ProcessEvent,GMVAE,0.4074,0.002,0.0046,0.07,0.0087,0.9705,0.1361
theia,ProcessEvent,Attention AE,0.4073,0.002,0.0044,0.07,0.0082,0.9688,0.7123
theia,ProcessEvent,LSTMAE,0.4168,0.0052,0.0407,0.07,0.0515,0.9952,1.0905
theia,ProcessEvent,Robust,0.4261,0.0092,0.0484,0.12,0.069,0.994,0.136
theia,ProcessEvent,Contractive,0.4071,0.0019,0.0046,0.07,0.0087,0.9706,0.1377
theia,ProcessExec,Baseline,0.2634,0.0075,0.2,0.03,0.0522,0.998,0.1401
theia,ProcessExec,Sparse,0.878,0.0149,0.0271,0.36,0.0505,0.9757,0.1395
theia,ProcessExec,Deep SVDD,0.4999,0.0018,0.0018,1.0,0.0036,0.0018,0.0665
theia,ProcessExec,DAE,0.8157,0.0072,0.0283,0.03,0.0291,0.9964,0.138
theia,ProcessExec,VAE,0.8565,0.0138,0.0264,0.35,0.0491,0.9757,0.1457
theia,ProcessExec,Beta-VAE,0.8584,0.0125,0.0232,0.36,0.0435,0.9716,0.1475
theia,ProcessExec,GMVAE,0.8712,0.0145,0.0271,0.36,0.0505,0.9757,0.1438
theia,ProcessExec,Attention AE,0.875,0.015,0.0271,0.36,0.0505,0.9757,0.7407
theia,ProcessExec,LSTMAE,0.2978,0.0046,0.1034,0.03,0.0465,0.9978,1.1448
theia,ProcessExec,Robust,0.5436,0.0063,0.1364,0.03,0.0492,0.9979,0.1371
theia,ProcessExec,Contractive,0.8653,0.0145,0.0271,0.36,0.0505,0.9757,0.1417
theia,ProcessNetflow,Baseline,0.8532,0.5755,0.8841,0.61,0.7219,0.9951,0.0276
theia,ProcessNetflow,Sparse,0.831,0.1841,0.4545,0.35,0.3955,0.989,0.027
theia,ProcessNetflow,Deep SVDD,0.8526,0.5838,0.9275,0.64,0.7574,0.9958,0.014
theia,ProcessNetflow,DAE,0.8533,0.3797,0.6018,0.68,0.6385,0.9921,0.029
theia,ProcessNetflow,VAE,0.828,0.1509,0.377,0.23,0.2857,0.9881,0.028
theia,ProcessNetflow,Beta-VAE,0.8278,0.1517,0.377,0.23,0.2857,0.9881,0.025
theia,ProcessNetflow,GMVAE,0.8336,0.178,0.3684,0.28,0.3182,0.9876,0.027
theia,ProcessNetflow,Attention AE,0.8328,0.1883,0.4301,0.4,0.4145,0.9883,0.1273
theia,ProcessNetflow,LSTMAE,0.8555,0.5966,0.7228,0.73,0.7264,0.9943,0.093
theia,ProcessNetflow,Robust,0.8549,0.5963,0.8356,0.61,0.7052,0.9947,0.028
theia,ProcessNetflow,Contractive,0.834,0.1661,0.2311,0.52,0.32,0.9772,0.0275
