Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Sparse,0.9239,0.5672,0.6667,0.6667,0.6667,0.974,0.006
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Deep SVDD,0.6712,0.4645,1.0,0.4444,0.6154,0.9784,0.006
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,DAE,0.963,0.7027,0.8571,0.6667,0.75,0.9827,0.004
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,VAE,0.8814,0.1975,0.1778,0.8889,0.2963,0.8355,0.006
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Beta-VAE,0.9264,0.3012,0.2667,0.8889,0.4103,0.9004,0.0066
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,GMVAE,0.9805,0.7956,1.0,0.6667,0.8,0.987,0.0054
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Attention AE,0.5345,0.0999,0.1739,0.4444,0.25,0.8961,0.0074
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,LSTMAE,0.6642,0.1357,0.2,0.6667,0.3077,0.8831,0.0104
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Robust,0.969,0.7617,1.0,0.6667,0.8,0.987,0.0043
clearscope,ProcessNetflow_qwen2_7b_bnb4bit,Contractive,0.8098,0.2586,0.25,0.3333,0.2857,0.9351,0.0043
clearscope,ProcessParent_qwen2_7b_bnb4bit,Baseline,,0.0,0.0,0.0,0.0,0.0,0.0355
clearscope,ProcessParent_qwen2_7b_bnb4bit,Sparse,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.02
clearscope,ProcessParent_qwen2_7b_bnb4bit,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.0071
clearscope,ProcessParent_qwen2_7b_bnb4bit,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_qwen2_7b_bnb4bit,Contractive,,0.0,0.0,0.0,0.0,0.0,0.0035
theia,ProcessAll_qwen2_7b_bnb4bit,Baseline,0.9984,0.6047,0.6692,0.89,0.7639,0.999,0.133
theia,ProcessAll_qwen2_7b_bnb4bit,Sparse,0.9963,0.6118,0.6807,0.81,0.7397,0.999,0.1103
theia,ProcessAll_qwen2_7b_bnb4bit,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0507
theia,ProcessAll_qwen2_7b_bnb4bit,DAE,0.9986,0.5437,0.5859,0.75,0.6579,0.9986,0.1084
theia,ProcessAll_qwen2_7b_bnb4bit,VAE,0.9983,0.5537,0.6271,0.74,0.6789,0.9987,0.1179
theia,ProcessAll_qwen2_7b_bnb4bit,Beta-VAE,0.9987,0.5516,0.6179,0.76,0.6816,0.9987,0.1186
theia,ProcessAll_qwen2_7b_bnb4bit,GMVAE,0.9985,0.5741,0.6583,0.79,0.7182,0.9989,0.1206
theia,ProcessAll_qwen2_7b_bnb4bit,Attention AE,0.1012,0.001,0.0018,1.0,0.0036,0.0028,0.5475
theia,ProcessAll_qwen2_7b_bnb4bit,LSTMAE,0.0728,0.001,0.0018,1.0,0.0036,0.0048,8.3472
theia,ProcessEvent_qwen2_7b_bnb4bit,Baseline,0.9983,0.6074,0.7404,0.77,0.7549,0.9991,0.1226
theia,ProcessEvent_qwen2_7b_bnb4bit,Sparse,0.998,0.4628,0.6782,0.59,0.631,0.9987,0.1095
theia,ProcessEvent_qwen2_7b_bnb4bit,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0037,0.0018,0.0482
theia,ProcessEvent_qwen2_7b_bnb4bit,DAE,0.9989,0.6065,0.693,0.79,0.7383,0.999,0.1066
theia,ProcessEvent_qwen2_7b_bnb4bit,VAE,0.9971,0.544,0.68,0.68,0.68,0.9988,0.1167
theia,ProcessEvent_qwen2_7b_bnb4bit,Beta-VAE,0.9962,0.4847,0.5862,0.68,0.6296,0.9985,0.1163
theia,ProcessEvent_qwen2_7b_bnb4bit,GMVAE,0.9911,0.3057,0.4803,0.73,0.5794,0.998,0.1174
theia,ProcessEvent_qwen2_7b_bnb4bit,Attention AE,0.5779,0.0069,0.0354,0.04,0.0376,0.9962,0.531
theia,ProcessEvent_qwen2_7b_bnb4bit,LSTMAE,0.7086,0.012,0.0833,0.04,0.0541,0.9974,1.0571
theia,ProcessExec_qwen2_7b_bnb4bit,Baseline,0.9582,0.7045,0.7541,0.92,0.8288,0.9993,0.1085
theia,ProcessExec_qwen2_7b_bnb4bit,Sparse,0.957,0.7036,0.7188,0.92,0.807,0.9992,0.1078
theia,ProcessExec_qwen2_7b_bnb4bit,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0505
theia,ProcessExec_qwen2_7b_bnb4bit,DAE,0.9495,0.7088,0.8125,0.91,0.8585,0.9995,0.1082
theia,ProcessExec_qwen2_7b_bnb4bit,VAE,0.9555,0.4936,0.6619,0.92,0.7699,0.999,0.1215
theia,ProcessExec_qwen2_7b_bnb4bit,Beta-VAE,0.9488,0.4939,0.6691,0.91,0.7712,0.999,0.1193
theia,ProcessExec_qwen2_7b_bnb4bit,GMVAE,0.9534,0.6295,0.7778,0.91,0.8387,0.9994,0.1219
theia,ProcessExec_qwen2_7b_bnb4bit,Attention AE,0.5598,0.0024,0.0032,0.94,0.0065,0.4817,0.5514
theia,ProcessExec_qwen2_7b_bnb4bit,LSTMAE,0.5722,0.0025,0.0037,0.94,0.0074,0.5449,1.0859
theia,ProcessNetflow_qwen2_7b_bnb4bit,Baseline,0.9884,0.7266,0.9565,0.66,0.7811,0.9962,0.0241
theia,ProcessNetflow_qwen2_7b_bnb4bit,Sparse,0.9912,0.9336,0.9252,0.99,0.9565,0.9991,0.024
theia,ProcessNetflow_qwen2_7b_bnb4bit,Deep SVDD,0.795,0.5942,1.0,0.59,0.7421,0.9958,0.0125
theia,ProcessNetflow_qwen2_7b_bnb4bit,DAE,0.9822,0.6997,0.9565,0.66,0.7811,0.9962,0.0222
theia,ProcessNetflow_qwen2_7b_bnb4bit,VAE,0.9915,0.9361,0.9412,0.96,0.9505,0.999,0.0247
theia,ProcessNetflow_qwen2_7b_bnb4bit,Beta-VAE,0.9966,0.9385,0.9167,0.99,0.9519,0.999,0.0259
