Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessNetflow_llama3_manual,Beta-VAE,0.8419,0.1612,0.2857,0.4,0.3333,0.9981,0.025
cadets,ProcessNetflow_llama3_manual,GMVAE,0.8492,0.1997,0.4,0.4,0.4,0.9986,0.0263
cadets,ProcessNetflow_llama3_manual,Attention AE,0.8494,0.2001,0.4,0.4,0.4,0.9986,0.1176
cadets,ProcessNetflow_llama3_manual,LSTMAE,0.9763,0.1398,0.1282,0.5,0.2041,0.9955,0.0873
cadets,ProcessNetflow_llama3_manual,Robust,0.9516,0.3906,0.5714,0.4,0.4706,0.999,0.0275
cadets,ProcessNetflow_llama3_manual,Contractive,0.8497,0.2007,0.4,0.4,0.4,0.9986,0.0255
cadets,ProcessParent_llama3_manual,Baseline,0.8935,0.4089,1.0,0.375,0.5455,0.9999,0.1075
cadets,ProcessParent_llama3_manual,Sparse,0.7047,0.0003,0.0005,1.0,0.001,0.6259,0.107
cadets,ProcessParent_llama3_manual,Deep SVDD,0.5625,0.1252,1.0,0.125,0.2222,0.9998,0.049
cadets,ProcessParent_llama3_manual,DAE,0.916,0.0037,0.0094,0.375,0.0184,0.9929,0.1089
cadets,ProcessParent_llama3_manual,VAE,0.6983,0.0003,0.0005,1.0,0.0009,0.6037,0.1215
cadets,ProcessParent_llama3_manual,Beta-VAE,0.7037,0.0003,0.0005,1.0,0.001,0.6378,0.118
cadets,ProcessParent_llama3_manual,GMVAE,0.7009,0.0003,0.0005,1.0,0.001,0.6259,0.1195
cadets,ProcessParent_llama3_manual,Attention AE,0.6975,0.0003,0.0005,1.0,0.001,0.6259,0.5844
cadets,ProcessParent_llama3_manual,LSTMAE,0.8348,0.3622,0.75,0.375,0.5,0.9999,0.8069
cadets,ProcessParent_llama3_manual,Robust,0.9688,0.412,1.0,0.375,0.5455,0.9999,0.1077
cadets,ProcessParent_llama3_manual,Contractive,0.7057,0.0003,0.0005,1.0,0.001,0.6259,0.112
clearscope,ProcessAll_llama3_manual,Baseline,0.9757,0.1659,0.225,0.6923,0.3396,0.9856,0.009
clearscope,ProcessAll_llama3_manual,Sparse,0.8854,0.2247,0.5,0.2308,0.3158,0.9947,0.012
clearscope,ProcessAll_llama3_manual,Deep SVDD,0.2937,0.0805,1.0,0.0769,0.1429,0.9951,0.006
clearscope,ProcessAll_llama3_manual,DAE,0.8842,0.2669,0.75,0.2308,0.3529,0.9955,0.009
clearscope,ProcessAll_llama3_manual,VAE,0.7761,0.0175,0.0283,0.2308,0.0504,0.9535,0.009
clearscope,ProcessAll_llama3_manual,Beta-VAE,0.8074,0.022,0.0465,0.1538,0.0714,0.9786,0.009
clearscope,ProcessAll_llama3_manual,GMVAE,0.9016,0.2244,0.5,0.2308,0.3158,0.9947,0.009
clearscope,ProcessAll_llama3_manual,Attention AE,0.9031,0.2249,0.5,0.2308,0.3158,0.9947,0.035
clearscope,ProcessAll_llama3_manual,LSTMAE,0.9697,0.17,0.2115,0.8462,0.3385,0.9823,0.023
clearscope,ProcessAll_llama3_manual,Robust,0.9853,0.2092,0.25,0.6154,0.3556,0.9881,0.009
clearscope,ProcessAll_llama3_manual,Contractive,0.8859,0.2248,0.5,0.2308,0.3158,0.9947,0.01
clearscope,ProcessEvent_llama3_manual,Baseline,0.9096,0.2142,0.3182,0.5385,0.4,0.9914,0.009
clearscope,ProcessEvent_llama3_manual,Sparse,0.8803,0.0448,0.086,0.6154,0.1509,0.963,0.011
clearscope,ProcessEvent_llama3_manual,Deep SVDD,0.7426,0.5827,1.0,0.5385,0.7,0.9975,0.007
clearscope,ProcessEvent_llama3_manual,DAE,0.3935,0.0046,0.0058,1.0,0.0115,0.0835,0.0096
clearscope,ProcessEvent_llama3_manual,VAE,0.8263,0.022,0.0315,0.6154,0.0599,0.8968,0.009
clearscope,ProcessEvent_llama3_manual,Beta-VAE,0.8059,0.028,0.0714,0.2308,0.1091,0.9799,0.009
clearscope,ProcessEvent_llama3_manual,GMVAE,0.8674,0.0342,0.0536,0.4615,0.096,0.9535,0.009
clearscope,ProcessEvent_llama3_manual,Attention AE,0.8715,0.0342,0.0536,0.4615,0.096,0.9535,0.0345
clearscope,ProcessEvent_llama3_manual,LSTMAE,0.9246,0.1446,0.2222,0.4615,0.3,0.9885,0.0225
clearscope,ProcessEvent_llama3_manual,Robust,0.9016,0.2972,0.381,0.6154,0.4706,0.9926,0.008
clearscope,ProcessEvent_llama3_manual,Contractive,0.8717,0.028,0.0429,0.2308,0.0723,0.9683,0.0105
clearscope,ProcessExec_llama3_manual,Baseline,0.9173,0.7042,0.9,0.6923,0.7826,0.9979,0.008
clearscope,ProcessExec_llama3_manual,Sparse,0.9108,0.087,0.129,0.9231,0.2264,0.9663,0.012
clearscope,ProcessExec_llama3_manual,Deep SVDD,0.8571,0.7372,0.9,0.6923,0.7826,0.9979,0.0065
clearscope,ProcessExec_llama3_manual,DAE,0.9796,0.6388,1.0,0.5385,0.7,0.9975,0.009
clearscope,ProcessExec_llama3_manual,VAE,0.8844,0.0495,0.0656,0.9231,0.1224,0.9293,0.009
clearscope,ProcessExec_llama3_manual,Beta-VAE,0.8836,0.0404,0.0706,0.9231,0.1311,0.9346,0.01
clearscope,ProcessExec_llama3_manual,GMVAE,0.9108,0.0863,0.129,0.9231,0.2264,0.9663,0.011
clearscope,ProcessExec_llama3_manual,Attention AE,0.9108,0.0863,0.129,0.9231,0.2264,0.9663,0.0365
clearscope,ProcessExec_llama3_manual,LSTMAE,0.9359,0.6686,1.0,0.5385,0.7,0.9975,0.025
clearscope,ProcessExec_llama3_manual,Robust,0.9876,0.6941,0.75,0.6923,0.72,0.9971,0.011
clearscope,ProcessExec_llama3_manual,Contractive,0.9108,0.0863,0.129,0.9231,0.2264,0.9663,0.009
clearscope,ProcessNetflow_llama3_manual,Baseline,0.8033,0.1141,0.1233,1.0,0.2195,0.7229,0.004
clearscope,ProcessNetflow_llama3_manual,Sparse,0.7022,0.1531,0.3,0.3333,0.3158,0.9437,0.005
clearscope,ProcessNetflow_llama3_manual,Deep SVDD,0.9665,0.4943,0.4286,1.0,0.6,0.9481,0.004
clearscope,ProcessNetflow_llama3_manual,DAE,0.5626,0.1365,0.3077,0.4444,0.3636,0.9394,0.0045
clearscope,ProcessNetflow_llama3_manual,VAE,0.5586,0.0569,0.0732,0.3333,0.12,0.8095,0.005
clearscope,ProcessNetflow_llama3_manual,Beta-VAE,0.5686,0.0472,0.0658,0.5556,0.1176,0.6753,0.004
clearscope,ProcessNetflow_llama3_manual,GMVAE,0.7703,0.2394,0.3,0.3333,0.3158,0.9437,0.004
clearscope,ProcessNetflow_llama3_manual,Attention AE,0.7703,0.2394,0.3,0.3333,0.3158,0.9437,0.008
clearscope,ProcessNetflow_llama3_manual,LSTMAE,0.8498,0.1414,0.1923,0.5556,0.2857,0.8918,0.006
clearscope,ProcessNetflow_llama3_manual,Robust,0.8809,0.1637,0.2121,0.7778,0.3333,0.8788,0.004
clearscope,ProcessNetflow_llama3_manual,Contractive,0.7012,0.1529,0.3,0.3333,0.3158,0.9437,0.004
clearscope,ProcessParent_llama3_manual,Baseline,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,Sparse,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent_llama3_manual,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.006
clearscope,ProcessParent_llama3_manual,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.005
clearscope,ProcessParent_llama3_manual,Robust,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent_llama3_manual,Contractive,,0.0,0.0,0.0,0.0,0.0,0.004
theia,ProcessAll_llama3_manual,Baseline,0.9964,0.4489,0.4938,0.8,0.6107,0.9982,0.1682
theia,ProcessAll_llama3_manual,Sparse,0.8025,0.0048,0.0088,0.7,0.0174,0.8591,0.1368
theia,ProcessAll_llama3_manual,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0615
theia,ProcessAll_llama3_manual,DAE,0.9704,0.0403,0.0764,0.48,0.1319,0.9887,0.1376
theia,ProcessAll_llama3_manual,VAE,0.8127,0.0046,0.0077,0.84,0.0152,0.8058,0.1431
theia,ProcessAll_llama3_manual,Beta-VAE,0.8268,0.005,0.008,0.88,0.0159,0.8055,0.137
theia,ProcessAll_llama3_manual,GMVAE,0.7772,0.0041,0.0066,0.46,0.013,0.8756,0.1426
theia,ProcessAll_llama3_manual,Attention AE,0.8311,0.0053,0.0089,0.87,0.0177,0.8274,0.7194
