Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessNetflow,VAE,0.8549,0.031,0.25,0.1,0.1429,0.9986,0.012
cadets,ProcessNetflow,Beta-VAE,0.9027,0.0312,0.25,0.1,0.1429,0.9986,0.012
cadets,ProcessNetflow,GMVAE,0.9246,0.0494,0.25,0.1,0.1429,0.9986,0.011
cadets,ProcessNetflow,Attention AE,0.8709,0.0311,0.25,0.1,0.1429,0.9986,0.011
cadets,ProcessNetflow,LSTMAE,0.9356,0.1196,0.1481,0.4,0.2162,0.9966,0.01
cadets,ProcessNetflow,Robust,0.9378,0.1792,0.1951,0.8,0.3137,0.9959,0.009
cadets,ProcessNetflow,Contractive,0.8669,0.0308,0.25,0.1,0.1429,0.9986,0.01
cadets,ProcessParent,Baseline,0.679,0.3689,0.75,0.375,0.5,0.9999,0.0344
cadets,ProcessParent,Sparse,0.9551,0.0054,0.025,0.125,0.0417,0.999,0.035
cadets,ProcessParent,Deep SVDD,0.625,0.2501,1.0,0.25,0.4,0.9999,0.018
cadets,ProcessParent,DAE,0.9525,0.005,0.0103,0.5,0.0201,0.9913,0.0326
cadets,ProcessParent,VAE,0.9176,0.0021,0.0057,0.125,0.011,0.996,0.0414
cadets,ProcessParent,Beta-VAE,0.9327,0.0023,0.0054,0.125,0.0104,0.9958,0.041
cadets,ProcessParent,GMVAE,0.9526,0.4265,1.0,0.375,0.5455,0.9999,0.0443
cadets,ProcessParent,Attention AE,0.9541,0.0053,0.025,0.125,0.0417,0.999,0.0444
cadets,ProcessParent,LSTMAE,0.9311,0.4445,0.8,0.5,0.6154,0.9999,0.0424
cadets,ProcessParent,Robust,0.9634,0.4387,1.0,0.375,0.5455,0.9999,0.0344
cadets,ProcessParent,Contractive,0.9577,0.0057,0.025,0.125,0.0417,0.999,0.0334
clearscope,ProcessAll,Baseline,0.9907,0.6827,0.9,0.6923,0.7826,0.9979,0.0055
clearscope,ProcessAll,Sparse,0.9479,0.2455,0.2037,0.8462,0.3284,0.9815,0.005
clearscope,ProcessAll,Deep SVDD,0.9965,0.7664,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll,DAE,0.9826,0.7562,0.9167,0.8462,0.88,0.9988,0.005
clearscope,ProcessAll,VAE,0.9633,0.2272,0.1897,0.8462,0.3099,0.9799,0.005
clearscope,ProcessAll,Beta-VAE,0.9539,0.2363,0.2,0.8462,0.3235,0.9811,0.006
clearscope,ProcessAll,GMVAE,0.991,0.7636,0.9091,0.7692,0.8333,0.9984,0.006
clearscope,ProcessAll,Attention AE,0.9895,0.6714,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll,LSTMAE,0.9898,0.6668,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll,Robust,0.9865,0.6084,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessAll,Contractive,0.9588,0.2464,0.2037,0.8462,0.3284,0.9815,0.005
clearscope,ProcessEvent,Baseline,0.9149,0.4488,0.4706,0.6154,0.5333,0.9942,0.007
clearscope,ProcessEvent,Sparse,0.8705,0.1856,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessEvent,Deep SVDD,0.6031,0.2805,0.5714,0.3077,0.4,0.9951,0.005
clearscope,ProcessEvent,DAE,0.9162,0.2111,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessEvent,VAE,0.8451,0.0561,0.2,0.1538,0.1739,0.9922,0.005
clearscope,ProcessEvent,Beta-VAE,0.8627,0.1893,1.0,0.1538,0.2667,0.9955,0.006
clearscope,ProcessEvent,GMVAE,0.9223,0.2735,1.0,0.2308,0.375,0.9959,0.005
clearscope,ProcessEvent,Attention AE,0.9165,0.3506,0.3529,0.4615,0.4,0.9926,0.006
clearscope,ProcessEvent,LSTMAE,0.9284,0.3161,1.0,0.2308,0.375,0.9959,0.007
clearscope,ProcessEvent,Robust,0.9209,0.3309,1.0,0.2308,0.375,0.9959,0.005
clearscope,ProcessEvent,Contractive,0.8681,0.1841,1.0,0.1538,0.2667,0.9955,0.008
clearscope,ProcessExec,Baseline,0.9889,0.7614,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessExec,Sparse,0.9926,0.6478,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessExec,Deep SVDD,0.9856,0.7662,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,DAE,0.9868,0.7206,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessExec,VAE,0.9871,0.2306,0.32,0.6154,0.4211,0.991,0.006
clearscope,ProcessExec,Beta-VAE,0.9877,0.2792,0.3333,0.6154,0.4324,0.9914,0.006
clearscope,ProcessExec,GMVAE,0.9911,0.5978,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessExec,Attention AE,0.954,0.7338,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,LSTMAE,0.9676,0.7359,0.9,0.6923,0.7826,0.9979,0.008
clearscope,ProcessExec,Robust,0.8656,0.7456,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec,Contractive,0.9865,0.5229,0.875,0.5385,0.6667,0.9971,0.005
clearscope,ProcessNetflow,Baseline,0.8178,0.2702,0.5,0.3333,0.4,0.961,0.004
clearscope,ProcessNetflow,Sparse,0.7618,0.2247,0.4444,0.4444,0.4444,0.9567,0.004
clearscope,ProcessNetflow,Deep SVDD,0.9339,0.3967,0.5714,0.4444,0.5,0.9654,0.003
