Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessNetflow,Baseline,0.9303,0.2276,0.4,0.4,0.4,0.9986,0.013
cadets,ProcessNetflow,Sparse,0.9311,0.1099,0.25,0.3,0.2727,0.9981,0.0113
cadets,ProcessNetflow,Deep SVDD,0.9338,0.2645,0.4,0.4,0.4,0.9986,0.008
cadets,ProcessNetflow,DAE,0.931,0.0906,0.25,0.2,0.2222,0.9984,0.011
cadets,ProcessNetflow,VAE,0.9602,0.1182,0.25,0.3,0.2727,0.9981,0.0125
cadets,ProcessNetflow,Beta-VAE,0.9132,0.1115,0.25,0.3,0.2727,0.9981,0.0125
cadets,ProcessNetflow,GMVAE,0.8936,0.018,0.0282,0.4,0.0526,0.9832,0.013
cadets,ProcessNetflow,Attention AE,0.9321,0.116,0.25,0.3,0.2727,0.9981,0.0163
cadets,ProcessNetflow,LSTMAE,0.929,0.159,0.25,0.4,0.3077,0.9979,0.0135
cadets,ProcessNetflow,Robust,0.9484,0.1956,0.3636,0.4,0.381,0.9985,0.0128
cadets,ProcessNetflow,Contractive,0.9324,0.1164,0.25,0.3,0.2727,0.9981,0.0117
cadets,ProcessParent,Baseline,0.7939,0.3697,0.75,0.375,0.5,0.9999,0.0434
cadets,ProcessParent,Sparse,0.9281,0.3757,1.0,0.375,0.5455,0.9999,0.0402
cadets,ProcessParent,Deep SVDD,0.625,0.2501,1.0,0.25,0.4,0.9999,0.0209
cadets,ProcessParent,DAE,0.9404,0.1296,1.0,0.125,0.2222,0.9998,0.042
cadets,ProcessParent,VAE,0.9427,0.0086,0.0244,0.375,0.0458,0.9972,0.0513
cadets,ProcessParent,Beta-VAE,0.9211,0.0082,0.0248,0.375,0.0465,0.9973,0.0514
cadets,ProcessParent,GMVAE,0.9224,0.3757,1.0,0.375,0.5455,0.9999,0.0464
cadets,ProcessParent,Attention AE,0.9281,0.3757,1.0,0.375,0.5455,0.9999,0.0668
cadets,ProcessParent,LSTMAE,0.6511,0.4466,1.0,0.375,0.5455,0.9999,0.0534
