Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessEvent,Attention AE,0.812,0.0165,0.0235,0.9231,0.0459,0.7948,0.033
clearscope,ProcessEvent,LSTMAE,0.9385,0.1896,0.2727,0.2308,0.25,0.9926,0.024
clearscope,ProcessEvent,Robust,0.9253,0.3384,0.5,0.6923,0.5806,0.9947,0.017
clearscope,ProcessEvent,Contractive,0.8145,0.0167,0.024,0.9231,0.0468,0.7989,0.0101
clearscope,ProcessExec,Baseline,0.978,0.7121,0.8182,0.6923,0.75,0.9975,0.01
clearscope,ProcessExec,Sparse,0.9483,0.57,1.0,0.5385,0.7,0.9975,0.019
clearscope,ProcessExec,Deep SVDD,0.773,0.7527,1.0,0.6923,0.8182,0.9984,0.009
clearscope,ProcessExec,DAE,0.9786,0.5777,1.0,0.5385,0.7,0.9975,0.011
clearscope,ProcessExec,VAE,0.8428,0.0206,0.0321,0.6154,0.0611,0.8988,0.01
clearscope,ProcessExec,Beta-VAE,0.8331,0.0248,0.0357,0.5385,0.067,0.9198,0.01
clearscope,ProcessExec,GMVAE,0.9465,0.5696,1.0,0.5385,0.7,0.9975,0.011
clearscope,ProcessExec,Attention AE,0.9464,0.5696,1.0,0.5385,0.7,0.9975,0.035
clearscope,ProcessExec,LSTMAE,0.9848,0.7003,0.8182,0.6923,0.75,0.9975,0.024
clearscope,ProcessExec,Robust,0.9806,0.7057,0.8182,0.6923,0.75,0.9975,0.011
clearscope,ProcessExec,Contractive,0.9464,0.5696,1.0,0.5385,0.7,0.9975,0.012
clearscope,ProcessNetflow,Baseline,0.9059,0.4635,0.6667,0.4444,0.5333,0.9697,0.009
clearscope,ProcessNetflow,Sparse,0.7708,0.404,0.5,0.4444,0.4706,0.961,0.008
clearscope,ProcessNetflow,Deep SVDD,0.9935,0.7869,0.8889,0.8889,0.8889,0.9913,0.0106
clearscope,ProcessNetflow,DAE,0.7703,0.3511,0.5,0.4444,0.4706,0.961,0.006
