Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
clearscope,ProcessAll,VAE,0.951,0.0786,0.125,0.2308,0.1622,0.9873,0.005
clearscope,ProcessAll,Beta-VAE,0.9751,0.2497,1.0,0.1538,0.2667,0.9955,0.007
clearscope,ProcessAll,GMVAE,0.9758,0.2315,0.5,0.2308,0.3158,0.9947,0.006
clearscope,ProcessAll,Attention AE,0.9964,0.6764,0.7143,0.7692,0.7407,0.9971,0.005
clearscope,ProcessAll,LSTMAE,0.9967,0.6252,0.7692,0.7692,0.7692,0.9975,0.006
clearscope,ProcessAll,Robust,0.9959,0.6152,0.7692,0.7692,0.7692,0.9975,0.006
clearscope,ProcessAll,Contractive,0.9746,0.2312,0.5,0.2308,0.3158,0.9947,0.005
clearscope,ProcessEvent,Baseline,0.9131,0.5972,1.0,0.4615,0.6316,0.9971,0.005
clearscope,ProcessEvent,Sparse,0.868,0.0423,0.0769,0.3846,0.1282,0.972,0.006
clearscope,ProcessEvent,Deep SVDD,0.929,0.6129,1.0,0.4615,0.6316,0.9971,0.005
clearscope,ProcessEvent,DAE,0.9157,0.2631,0.1935,0.4615,0.2727,0.9868,0.005
clearscope,ProcessEvent,VAE,0.893,0.0367,0.0649,0.3846,0.1111,0.9671,0.006
clearscope,ProcessEvent,Beta-VAE,0.8833,0.0412,0.0877,0.3846,0.1429,0.9753,0.006
clearscope,ProcessEvent,GMVAE,0.8944,0.1012,0.375,0.2308,0.2857,0.9938,0.007
clearscope,ProcessEvent,Attention AE,0.9106,0.4405,0.6,0.4615,0.5217,0.9955,0.006
clearscope,ProcessEvent,LSTMAE,0.9331,0.4113,0.5,0.4615,0.48,0.9947,0.009
clearscope,ProcessEvent,Robust,0.9311,0.5262,0.5833,0.5385,0.56,0.9955,0.007
clearscope,ProcessEvent,Contractive,0.8732,0.043,0.0725,0.3846,0.122,0.9704,0.006
clearscope,ProcessExec,Baseline,0.9922,0.7585,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessExec,Sparse,0.9702,0.0974,0.134,1.0,0.2364,0.9655,0.005
clearscope,ProcessExec,Deep SVDD,0.8468,0.7454,1.0,0.6923,0.8182,0.9984,0.005
clearscope,ProcessExec,DAE,0.9646,0.739,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessExec,VAE,0.97,0.083,0.1277,0.9231,0.2243,0.9659,0.007
clearscope,ProcessExec,Beta-VAE,0.9705,0.0873,0.1275,1.0,0.2261,0.9634,0.005
clearscope,ProcessExec,GMVAE,0.988,0.7514,0.9,0.6923,0.7826,0.9979,0.006
clearscope,ProcessExec,Attention AE,0.9922,0.7585,0.9,0.6923,0.7826,0.9979,0.0062
clearscope,ProcessExec,LSTMAE,0.964,0.732,0.9,0.6923,0.7826,0.9979,0.007
clearscope,ProcessExec,Robust,0.9683,0.7397,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessExec,Contractive,0.9702,0.0974,0.134,1.0,0.2364,0.9655,0.009
clearscope,ProcessNetflow,Baseline,0.9665,0.6696,0.75,0.6667,0.7059,0.9784,0.005
clearscope,ProcessNetflow,Sparse,0.8048,0.2185,0.4,0.4444,0.4211,0.9524,0.003
clearscope,ProcessNetflow,Deep SVDD,0.9745,0.6777,0.75,0.6667,0.7059,0.9784,0.004
clearscope,ProcessNetflow,DAE,0.8969,0.3835,1.0,0.2222,0.3636,0.9697,0.004
clearscope,ProcessNetflow,VAE,0.7377,0.1164,0.2308,0.3333,0.2727,0.9307,0.004
clearscope,ProcessNetflow,Beta-VAE,0.6141,0.0536,0.065,0.8889,0.1212,0.4978,0.004
clearscope,ProcessNetflow,GMVAE,0.8028,0.2051,0.4,0.4444,0.4211,0.9524,0.004
clearscope,ProcessNetflow,Attention AE,0.974,0.685,0.75,0.6667,0.7059,0.9784,0.0062
clearscope,ProcessNetflow,LSTMAE,0.9745,0.5968,0.5333,0.8889,0.6667,0.9654,0.004
clearscope,ProcessNetflow,Robust,0.974,0.6899,0.75,0.6667,0.7059,0.9784,0.005
clearscope,ProcessNetflow,Contractive,0.7988,0.2028,0.3333,0.4444,0.381,0.9437,0.004
clearscope,ProcessParent,Baseline,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Sparse,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Deep SVDD,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,DAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,VAE,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Beta-VAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,GMVAE,,0.0,0.0,0.0,0.0,0.0,0.004
clearscope,ProcessParent,Attention AE,,0.0,0.0,0.0,0.0,0.0,0.0166
clearscope,ProcessParent,LSTMAE,,0.0,0.0,0.0,0.0,0.0,0.0048
clearscope,ProcessParent,Robust,,0.0,0.0,0.0,0.0,0.0,0.003
clearscope,ProcessParent,Contractive,,0.0,0.0,0.0,0.0,0.0,0.004
theia,ProcessAll,Baseline,0.9992,0.7911,0.8051,0.95,0.8716,0.9995,0.0535
theia,ProcessAll,Sparse,0.9288,0.0149,0.0228,0.95,0.0446,0.9272,0.0471
theia,ProcessAll,Deep SVDD,0.8249,0.6145,0.7667,0.69,0.7263,0.9991,0.024
theia,ProcessAll,DAE,0.9946,0.3141,0.4248,0.48,0.4507,0.9979,0.0457
theia,ProcessAll,VAE,0.9313,0.0142,0.0224,0.89,0.0436,0.9303,0.049
theia,ProcessAll,Beta-VAE,0.9285,0.0142,0.0215,0.94,0.042,0.9234,0.0483
theia,ProcessAll,GMVAE,0.9983,0.7114,0.696,0.87,0.7733,0.9991,0.0544
theia,ProcessAll,Attention AE,0.9301,0.0145,0.0227,0.95,0.0444,0.9269,0.059
