Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
cadets,ProcessNetflow,Robust,0.9406,0.3524,0.5714,0.4,0.4706,0.999,0.011
cadets,ProcessNetflow,Contractive,0.8561,0.0054,0.0083,0.8,0.0165,0.889,0.009
cadets,ProcessParent,Baseline,0.9673,0.3349,0.5,0.5,0.5,0.9998,0.0334
cadets,ProcessParent,Sparse,0.9197,0.0043,0.0256,0.125,0.0426,0.999,0.035
cadets,ProcessParent,Deep SVDD,0.6875,0.3439,0.75,0.375,0.5,0.9999,0.0174
cadets,ProcessParent,DAE,0.8597,0.2612,1.0,0.25,0.4,0.9999,0.034
cadets,ProcessParent,VAE,0.9141,0.0014,0.0028,0.125,0.0054,0.9918,0.044
cadets,ProcessParent,Beta-VAE,0.9077,0.0015,0.0036,0.125,0.007,0.9936,0.0405
cadets,ProcessParent,GMVAE,0.8457,0.2548,1.0,0.25,0.4,0.9999,0.045
cadets,ProcessParent,Attention AE,0.9197,0.0043,0.0256,0.125,0.0426,0.999,0.045
cadets,ProcessParent,LSTMAE,0.879,0.3239,0.75,0.375,0.5,0.9999,0.0395
cadets,ProcessParent,Robust,0.9034,0.3275,0.75,0.375,0.5,0.9999,0.0365
cadets,ProcessParent,Contractive,0.9254,0.0033,0.0172,0.125,0.0303,0.9986,0.0332
clearscope,ProcessAll,Baseline,0.9943,0.6364,0.9,0.6923,0.7826,0.9979,0.005
clearscope,ProcessAll,Sparse,0.9236,0.2442,0.1519,0.9231,0.2609,0.972,0.005
clearscope,ProcessAll,Deep SVDD,0.9941,0.7492,0.75,0.6923,0.72,0.9971,0.005
clearscope,ProcessAll,DAE,0.9265,0.5432,0.8182,0.6923,0.75,0.9975,0.005
clearscope,ProcessAll,VAE,0.9147,0.1609,0.1463,0.9231,0.2526,0.9708,0.005
clearscope,ProcessAll,Beta-VAE,0.9201,0.1385,0.1519,0.9231,0.2609,0.972,0.006
clearscope,ProcessAll,GMVAE,0.9699,0.5514,0.8182,0.6923,0.75,0.9975,0.005
clearscope,ProcessAll,Attention AE,0.9918,0.601,0.8182,0.6923,0.75,0.9975,0.006
clearscope,ProcessAll,LSTMAE,0.9891,0.5899,0.9,0.6923,0.7826,0.9979,0.007
clearscope,ProcessAll,Robust,0.9872,0.5733,0.8182,0.6923,0.75,0.9975,0.005
clearscope,ProcessAll,Contractive,0.9204,0.2718,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessEvent,Baseline,0.9119,0.624,0.8889,0.6154,0.7273,0.9975,0.006
clearscope,ProcessEvent,Sparse,0.8576,0.184,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessEvent,Deep SVDD,0.9118,0.6148,0.8,0.6154,0.6957,0.9971,0.005
clearscope,ProcessEvent,DAE,0.9316,0.3676,1.0,0.3077,0.4706,0.9963,0.005
clearscope,ProcessEvent,VAE,0.8627,0.0533,0.25,0.0769,0.1176,0.9938,0.007
clearscope,ProcessEvent,Beta-VAE,0.8427,0.1629,0.25,0.2308,0.24,0.9922,0.0069
clearscope,ProcessEvent,GMVAE,0.911,0.3497,0.5,0.3077,0.381,0.9947,0.006
clearscope,ProcessEvent,Attention AE,0.935,0.4967,0.7778,0.5385,0.6364,0.9967,0.005
clearscope,ProcessEvent,LSTMAE,0.9347,0.4837,0.7,0.5385,0.6087,0.9963,0.005
clearscope,ProcessEvent,Robust,0.9113,0.5487,0.7273,0.6154,0.6667,0.9967,0.005
clearscope,ProcessEvent,Contractive,0.8394,0.1839,1.0,0.1538,0.2667,0.9955,0.005
clearscope,ProcessExec,Baseline,0.9913,0.7646,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,Sparse,0.9416,0.0883,0.129,0.9231,0.2264,0.9663,0.005
clearscope,ProcessExec,Deep SVDD,0.8869,0.7428,1.0,0.6923,0.8182,0.9984,0.004
clearscope,ProcessExec,DAE,0.9526,0.7107,1.0,0.6923,0.8182,0.9984,0.006
