Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessExec,Baseline,0.9464,0.7955,0.8679,0.92,0.8932,0.9996,0.0487
theia,ProcessExec,Sparse,0.8059,0.0113,0.0223,0.35,0.042,0.9714,0.0483
theia,ProcessExec,Deep SVDD,0.6949,0.3391,0.8667,0.39,0.5379,0.9988,0.026
theia,ProcessExec,DAE,0.9267,0.033,0.0422,0.93,0.0807,0.962,0.049
theia,ProcessExec,VAE,0.8006,0.007,0.0117,0.34,0.0227,0.9475,0.0562
theia,ProcessExec,Beta-VAE,0.8007,0.0071,0.0121,0.35,0.0235,0.9478,0.0544
theia,ProcessExec,GMVAE,0.8394,0.0098,0.0141,0.35,0.0272,0.9551,0.0553
theia,ProcessExec,Attention AE,0.8067,0.0088,0.0142,0.35,0.0272,0.9551,0.0797
theia,ProcessExec,LSTMAE,0.9507,0.7106,0.7797,0.92,0.844,0.9994,0.0637
theia,ProcessExec,Robust,0.965,0.8346,0.875,0.91,0.8922,0.9996,0.0487
theia,ProcessExec,Contractive,0.8067,0.0088,0.0142,0.35,0.0272,0.9551,0.049
theia,ProcessNetflow,Baseline,0.9898,0.7094,0.9429,0.66,0.7765,0.9961,0.012
theia,ProcessNetflow,Sparse,0.9698,0.2604,0.3299,0.97,0.4924,0.9794,0.011
theia,ProcessNetflow,Deep SVDD,0.9939,0.8003,0.9286,0.65,0.7647,0.9959,0.0085
theia,ProcessNetflow,DAE,0.9753,0.2846,0.33,0.98,0.4937,0.9793,0.011
theia,ProcessNetflow,VAE,0.9684,0.1895,0.3277,0.97,0.4899,0.9792,0.014
theia,ProcessNetflow,Beta-VAE,0.9676,0.1887,0.3277,0.97,0.4899,0.9792,0.0133
theia,ProcessNetflow,GMVAE,0.9741,0.1932,0.33,0.98,0.4937,0.9793,0.012
theia,ProcessNetflow,Attention AE,0.9698,0.2604,0.3289,0.98,0.4925,0.9792,0.0175
theia,ProcessNetflow,LSTMAE,0.9946,0.9444,0.934,0.99,0.9612,0.9992,0.0155
theia,ProcessNetflow,Robust,0.9943,0.9646,0.9252,0.99,0.9565,0.9991,0.011
theia,ProcessNetflow,Contractive,0.9698,0.2604,0.33,0.98,0.4937,0.9793,0.011
theia,ProcessParent,Baseline,0.9598,0.317,0.5043,0.59,0.5438,0.9982,0.0515
